"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}"
2025-11-29 00:11:15,1.44 kb/s,2.47 kb/s,829 b/s,1.04 kb/s,1.08 kb/s,1.45 kb/s,2.29 kb/s,3.07 kb/s,1.60 kb/s,1.39 kb/s,2.74 kb/s,1.19 kb/s,,,,,,,,,,,,
2025-11-29 00:11:30,3.72 kb/s,3.95 kb/s,5.77 kb/s,3.38 kb/s,3.48 kb/s,3.77 kb/s,5.49 kb/s,4.39 kb/s,3.81 kb/s,3.56 kb/s,4.26 kb/s,3.37 kb/s,,,,,,,,,,,,
2025-11-29 00:11:45,28.8 kb/s,32.9 kb/s,42.2 kb/s,37.6 kb/s,34.3 kb/s,36.7 kb/s,61.3 kb/s,33.2 kb/s,40.6 kb/s,35.2 kb/s,38.2 kb/s,36.6 kb/s,,,,,,,,,,,,
2025-11-29 00:12:00,60.4 kb/s,57.0 kb/s,81.7 kb/s,73.8 kb/s,71.0 kb/s,65.5 kb/s,90.6 kb/s,61.3 kb/s,68.1 kb/s,70.2 kb/s,68.7 kb/s,61.3 kb/s,,,,,,,,,,,,
2025-11-29 00:12:15,106 kb/s,91.2 kb/s,109 kb/s,113 kb/s,103 kb/s,96.5 kb/s,120 kb/s,97.3 kb/s,107 kb/s,108 kb/s,95.7 kb/s,104 kb/s,,,,,,,,,,,,
2025-11-29 00:12:30,157 kb/s,134 kb/s,145 kb/s,146 kb/s,151 kb/s,140 kb/s,145 kb/s,141 kb/s,158 kb/s,161 kb/s,124 kb/s,130 kb/s,,,,,,,,,,,,
2025-11-29 00:12:45,189 kb/s,166 kb/s,175 kb/s,175 kb/s,180 kb/s,170 kb/s,185 kb/s,171 kb/s,188 kb/s,192 kb/s,170 kb/s,165 kb/s,,,,,,,,,,,,
2025-11-29 00:13:00,223 kb/s,190 kb/s,228 kb/s,208 kb/s,215 kb/s,195 kb/s,212 kb/s,199 kb/s,215 kb/s,219 kb/s,200 kb/s,194 kb/s,,,,,,,,,,,,
2025-11-29 00:13:15,258 kb/s,222 kb/s,251 kb/s,249 kb/s,242 kb/s,229 kb/s,245 kb/s,228 kb/s,255 kb/s,252 kb/s,227 kb/s,242 kb/s,,,,,,,,,,,,
2025-11-29 00:13:30,305 kb/s,262 kb/s,290 kb/s,282 kb/s,286 kb/s,271 kb/s,274 kb/s,281 kb/s,313 kb/s,299 kb/s,259 kb/s,270 kb/s,,,,,,,,,,,,
2025-11-29 00:13:45,337 kb/s,291 kb/s,327 kb/s,315 kb/s,311 kb/s,304 kb/s,313 kb/s,305 kb/s,341 kb/s,324 kb/s,302 kb/s,302 kb/s,,,,,,,,,,,,
2025-11-29 00:14:00,368 kb/s,317 kb/s,370 kb/s,348 kb/s,341 kb/s,330 kb/s,342 kb/s,336 kb/s,368 kb/s,355 kb/s,331 kb/s,332 kb/s,,,,,,,,,,,,
2025-11-29 00:14:15,406 kb/s,348 kb/s,403 kb/s,386 kb/s,365 kb/s,366 kb/s,372 kb/s,373 kb/s,397 kb/s,391 kb/s,358 kb/s,380 kb/s,,,,,,,,,,,,
2025-11-29 00:14:30,463 kb/s,389 kb/s,438 kb/s,421 kb/s,407 kb/s,406 kb/s,399 kb/s,415 kb/s,454 kb/s,440 kb/s,394 kb/s,403 kb/s,,,,,,,,,,,,
2025-11-29 00:14:45,493 kb/s,416 kb/s,469 kb/s,445 kb/s,432 kb/s,435 kb/s,446 kb/s,440 kb/s,483 kb/s,473 kb/s,436 kb/s,441 kb/s,,,,,,,,,,,,
2025-11-29 00:15:00,527 kb/s,443 kb/s,523 kb/s,479 kb/s,464 kb/s,462 kb/s,472 kb/s,467 kb/s,511 kb/s,497 kb/s,463 kb/s,465 kb/s,,,,,,,,,,,,
2025-11-29 00:15:15,568 kb/s,476 kb/s,549 kb/s,518 kb/s,494 kb/s,493 kb/s,499 kb/s,499 kb/s,540 kb/s,528 kb/s,488 kb/s,517 kb/s,,,,,,,,,,,,
2025-11-29 00:15:30,622 kb/s,520 kb/s,581 kb/s,559 kb/s,536 kb/s,531 kb/s,524 kb/s,546 kb/s,599 kb/s,573 kb/s,520 kb/s,548 kb/s,,,,,,,,,,,,
2025-11-29 00:15:45,660 kb/s,546 kb/s,612 kb/s,589 kb/s,568 kb/s,556 kb/s,566 kb/s,574 kb/s,628 kb/s,602 kb/s,562 kb/s,577 kb/s,,,,,,,,,,,,
