"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}"
2025-11-29 00:11:15,15.6 kb/s,15.6 kb/s,11.7 kb/s,14.3 kb/s,14.4 kb/s,15.4 kb/s,14.6 kb/s,15.4 kb/s,15.6 kb/s,15.1 kb/s,17.3 kb/s,13.2 kb/s,,,,,,,,,,,,
2025-11-29 00:11:30,25.7 kb/s,25.3 kb/s,23.5 kb/s,23.8 kb/s,24.0 kb/s,25.7 kb/s,21.7 kb/s,24.8 kb/s,25.8 kb/s,24.9 kb/s,27.9 kb/s,22.2 kb/s,,,,,,,,,,,,
2025-11-29 00:11:45,63.9 kb/s,56.4 kb/s,65.9 kb/s,60.4 kb/s,63.8 kb/s,64.3 kb/s,64.7 kb/s,51.8 kb/s,66.7 kb/s,66.2 kb/s,56.3 kb/s,59.0 kb/s,,,,,,,,,,,,
2025-11-29 00:12:00,105 kb/s,86.6 kb/s,119 kb/s,99.9 kb/s,106 kb/s,98.2 kb/s,93.0 kb/s,83.3 kb/s,111 kb/s,94.4 kb/s,91.1 kb/s,88.0 kb/s,,,,,,,,,,,,
2025-11-29 00:12:15,149 kb/s,125 kb/s,158 kb/s,145 kb/s,139 kb/s,139 kb/s,132 kb/s,119 kb/s,159 kb/s,137 kb/s,126 kb/s,138 kb/s,,,,,,,,,,,,
2025-11-29 00:12:30,219 kb/s,172 kb/s,198 kb/s,187 kb/s,193 kb/s,186 kb/s,162 kb/s,172 kb/s,225 kb/s,191 kb/s,172 kb/s,174 kb/s,,,,,,,,,,,,
2025-11-29 00:12:45,270 kb/s,206 kb/s,237 kb/s,223 kb/s,231 kb/s,221 kb/s,209 kb/s,206 kb/s,268 kb/s,229 kb/s,218 kb/s,209 kb/s,,,,,,,,,,,,
2025-11-29 00:13:00,308 kb/s,242 kb/s,282 kb/s,266 kb/s,274 kb/s,255 kb/s,243 kb/s,241 kb/s,312 kb/s,274 kb/s,250 kb/s,242 kb/s,,,,,,,,,,,,
2025-11-29 00:13:15,363 kb/s,286 kb/s,324 kb/s,312 kb/s,315 kb/s,291 kb/s,276 kb/s,280 kb/s,361 kb/s,315 kb/s,282 kb/s,293 kb/s,,,,,,,,,,,,
2025-11-29 00:13:30,444 kb/s,338 kb/s,366 kb/s,356 kb/s,369 kb/s,336 kb/s,305 kb/s,326 kb/s,414 kb/s,366 kb/s,324 kb/s,333 kb/s,,,,,,,,,,,,
2025-11-29 00:13:45,490 kb/s,376 kb/s,403 kb/s,386 kb/s,407 kb/s,364 kb/s,353 kb/s,368 kb/s,454 kb/s,409 kb/s,379 kb/s,376 kb/s,,,,,,,,,,,,
2025-11-29 00:14:00,543 kb/s,410 kb/s,456 kb/s,429 kb/s,453 kb/s,394 kb/s,385 kb/s,400 kb/s,496 kb/s,443 kb/s,415 kb/s,409 kb/s,,,,,,,,,,,,
2025-11-29 00:14:15,593 kb/s,453 kb/s,495 kb/s,467 kb/s,492 kb/s,427 kb/s,425 kb/s,433 kb/s,550 kb/s,486 kb/s,448 kb/s,463 kb/s,,,,,,,,,,,,
2025-11-29 00:14:30,664 kb/s,503 kb/s,535 kb/s,512 kb/s,549 kb/s,468 kb/s,460 kb/s,496 kb/s,608 kb/s,540 kb/s,490 kb/s,503 kb/s,,,,,,,,,,,,
2025-11-29 00:14:45,712 kb/s,536 kb/s,576 kb/s,550 kb/s,592 kb/s,503 kb/s,505 kb/s,541 kb/s,649 kb/s,574 kb/s,537 kb/s,538 kb/s,,,,,,,,,,,,
2025-11-29 00:15:00,755 kb/s,569 kb/s,620 kb/s,589 kb/s,638 kb/s,529 kb/s,541 kb/s,578 kb/s,693 kb/s,615 kb/s,574 kb/s,581 kb/s,,,,,,,,,,,,
2025-11-29 00:15:15,803 kb/s,611 kb/s,662 kb/s,634 kb/s,674 kb/s,568 kb/s,578 kb/s,616 kb/s,744 kb/s,658 kb/s,612 kb/s,631 kb/s,,,,,,,,,,,,
2025-11-29 00:15:30,875 kb/s,657 kb/s,715 kb/s,672 kb/s,730 kb/s,612 kb/s,614 kb/s,668 kb/s,801 kb/s,717 kb/s,652 kb/s,665 kb/s,,,,,,,,,,,,
2025-11-29 00:15:45,915 kb/s,694 kb/s,759 kb/s,705 kb/s,767 kb/s,647 kb/s,668 kb/s,710 kb/s,842 kb/s,756 kb/s,702 kb/s,709 kb/s,,,,,,,,,,,,
