"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}"
2025-11-29 00:33:15,,,,,,1.59 kb/s,953 b/s,748 b/s,1.73 kb/s,1.81 kb/s,,1.56 kb/s,,,,,,,,,,,,
2025-11-29 00:33:30,2.03 kb/s,2.45 kb/s,1.09 kb/s,923 b/s,999 b/s,3.06 kb/s,3.04 kb/s,2.88 kb/s,3.21 kb/s,3.33 kb/s,1.01 kb/s,3.07 kb/s,,,,,,,,,,,,
2025-11-29 00:33:45,3.80 kb/s,6.45 kb/s,3.71 kb/s,6.62 kb/s,3.48 kb/s,31.4 kb/s,29.2 kb/s,27.1 kb/s,29.5 kb/s,30.2 kb/s,3.68 kb/s,27.2 kb/s,,,,,,,,,,,,
2025-11-29 00:34:00,45.3 kb/s,59.5 kb/s,44.0 kb/s,56.3 kb/s,51.1 kb/s,55.6 kb/s,59.2 kb/s,57.9 kb/s,65.3 kb/s,60.8 kb/s,55.0 kb/s,50.9 kb/s,,,,,,,,,,,,
2025-11-29 00:34:15,112 kb/s,87.2 kb/s,79.8 kb/s,107 kb/s,95.3 kb/s,86.4 kb/s,88.2 kb/s,84.6 kb/s,95.0 kb/s,87.0 kb/s,96.7 kb/s,81.3 kb/s,,,,,,,,,,,,
2025-11-29 00:34:30,142 kb/s,116 kb/s,132 kb/s,138 kb/s,125 kb/s,124 kb/s,122 kb/s,127 kb/s,121 kb/s,119 kb/s,137 kb/s,122 kb/s,,,,,,,,,,,,
2025-11-29 00:34:45,173 kb/s,143 kb/s,164 kb/s,178 kb/s,149 kb/s,150 kb/s,150 kb/s,155 kb/s,166 kb/s,166 kb/s,165 kb/s,151 kb/s,,,,,,,,,,,,
2025-11-29 00:35:00,213 kb/s,188 kb/s,193 kb/s,204 kb/s,181 kb/s,175 kb/s,185 kb/s,192 kb/s,193 kb/s,199 kb/s,201 kb/s,179 kb/s,,,,,,,,,,,,
2025-11-29 00:35:15,275 kb/s,219 kb/s,221 kb/s,253 kb/s,232 kb/s,209 kb/s,214 kb/s,217 kb/s,225 kb/s,226 kb/s,240 kb/s,209 kb/s,,,,,,,,,,,,
2025-11-29 00:35:30,308 kb/s,253 kb/s,267 kb/s,286 kb/s,265 kb/s,259 kb/s,252 kb/s,264 kb/s,255 kb/s,255 kb/s,284 kb/s,254 kb/s,,,,,,,,,,,,
2025-11-29 00:35:45,336 kb/s,285 kb/s,300 kb/s,322 kb/s,290 kb/s,282 kb/s,277 kb/s,293 kb/s,307 kb/s,301 kb/s,312 kb/s,284 kb/s,,,,,,,,,,,,
2025-11-29 00:36:00,376 kb/s,327 kb/s,331 kb/s,355 kb/s,323 kb/s,306 kb/s,309 kb/s,333 kb/s,342 kb/s,328 kb/s,354 kb/s,311 kb/s,,,,,,,,,,,,
2025-11-29 00:36:15,423 kb/s,353 kb/s,367 kb/s,409 kb/s,366 kb/s,338 kb/s,341 kb/s,355 kb/s,380 kb/s,350 kb/s,393 kb/s,346 kb/s,,,,,,,,,,,,
2025-11-29 00:36:30,456 kb/s,381 kb/s,413 kb/s,433 kb/s,397 kb/s,376 kb/s,383 kb/s,400 kb/s,409 kb/s,384 kb/s,437 kb/s,385 kb/s,,,,,,,,,,,,
2025-11-29 00:36:45,483 kb/s,414 kb/s,442 kb/s,472 kb/s,425 kb/s,404 kb/s,408 kb/s,430 kb/s,454 kb/s,428 kb/s,465 kb/s,413 kb/s,,,,,,,,,,,,
2025-11-29 00:37:00,519 kb/s,456 kb/s,466 kb/s,509 kb/s,459 kb/s,432 kb/s,441 kb/s,465 kb/s,481 kb/s,456 kb/s,495 kb/s,439 kb/s,,,,,,,,,,,,
2025-11-29 00:37:15,578 kb/s,488 kb/s,501 kb/s,556 kb/s,506 kb/s,465 kb/s,475 kb/s,492 kb/s,514 kb/s,483 kb/s,532 kb/s,473 kb/s,,,,,,,,,,,,
2025-11-29 00:37:30,610 kb/s,521 kb/s,538 kb/s,583 kb/s,540 kb/s,513 kb/s,514 kb/s,540 kb/s,540 kb/s,522 kb/s,576 kb/s,511 kb/s,,,,,,,,,,,,
2025-11-29 00:37:45,646 kb/s,555 kb/s,571 kb/s,620 kb/s,571 kb/s,544 kb/s,541 kb/s,567 kb/s,588 kb/s,567 kb/s,608 kb/s,538 kb/s,,,,,,,,,,,,
