"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}"
2025-11-29 00:33:15,,,,,,11.4 kb/s,10.6 kb/s,10.7 kb/s,12.3 kb/s,12.8 kb/s,,11.6 kb/s,,,,,,,,,,,,
2025-11-29 00:33:30,15.6 kb/s,17.9 kb/s,16.4 kb/s,14.6 kb/s,15.1 kb/s,20.6 kb/s,19.4 kb/s,19.9 kb/s,21.9 kb/s,22.8 kb/s,15.9 kb/s,21.1 kb/s,,,,,,,,,,,,
2025-11-29 00:33:45,24.8 kb/s,26.2 kb/s,25.8 kb/s,27.5 kb/s,24.1 kb/s,46.9 kb/s,49.6 kb/s,49.7 kb/s,57.8 kb/s,49.1 kb/s,25.3 kb/s,49.2 kb/s,,,,,,,,,,,,
2025-11-29 00:34:00,85.7 kb/s,87.9 kb/s,73.4 kb/s,74.3 kb/s,68.8 kb/s,75.4 kb/s,85.5 kb/s,86.2 kb/s,83.8 kb/s,80.5 kb/s,70.9 kb/s,77.0 kb/s,,,,,,,,,,,,
2025-11-29 00:34:15,158 kb/s,125 kb/s,120 kb/s,134 kb/s,123 kb/s,103 kb/s,118 kb/s,115 kb/s,124 kb/s,113 kb/s,115 kb/s,105 kb/s,,,,,,,,,,,,
2025-11-29 00:34:30,205 kb/s,160 kb/s,174 kb/s,169 kb/s,157 kb/s,154 kb/s,165 kb/s,162 kb/s,158 kb/s,149 kb/s,161 kb/s,139 kb/s,,,,,,,,,,,,
2025-11-29 00:34:45,247 kb/s,205 kb/s,211 kb/s,207 kb/s,193 kb/s,185 kb/s,193 kb/s,196 kb/s,213 kb/s,196 kb/s,201 kb/s,169 kb/s,,,,,,,,,,,,
2025-11-29 00:35:00,296 kb/s,258 kb/s,250 kb/s,247 kb/s,232 kb/s,219 kb/s,229 kb/s,237 kb/s,252 kb/s,231 kb/s,243 kb/s,198 kb/s,,,,,,,,,,,,
2025-11-29 00:35:15,373 kb/s,295 kb/s,297 kb/s,302 kb/s,286 kb/s,253 kb/s,264 kb/s,273 kb/s,298 kb/s,269 kb/s,283 kb/s,234 kb/s,,,,,,,,,,,,
2025-11-29 00:35:30,421 kb/s,330 kb/s,359 kb/s,340 kb/s,321 kb/s,304 kb/s,319 kb/s,325 kb/s,336 kb/s,315 kb/s,333 kb/s,274 kb/s,,,,,,,,,,,,
2025-11-29 00:35:45,468 kb/s,376 kb/s,397 kb/s,384 kb/s,361 kb/s,346 kb/s,354 kb/s,362 kb/s,385 kb/s,364 kb/s,372 kb/s,311 kb/s,,,,,,,,,,,,
2025-11-29 00:36:00,520 kb/s,430 kb/s,435 kb/s,427 kb/s,402 kb/s,383 kb/s,393 kb/s,399 kb/s,419 kb/s,406 kb/s,415 kb/s,342 kb/s,,,,,,,,,,,,
2025-11-29 00:36:15,586 kb/s,470 kb/s,483 kb/s,475 kb/s,461 kb/s,418 kb/s,431 kb/s,443 kb/s,453 kb/s,443 kb/s,454 kb/s,379 kb/s,,,,,,,,,,,,
2025-11-29 00:36:30,627 kb/s,509 kb/s,544 kb/s,516 kb/s,498 kb/s,472 kb/s,473 kb/s,505 kb/s,484 kb/s,485 kb/s,500 kb/s,423 kb/s,,,,,,,,,,,,
2025-11-29 00:36:45,669 kb/s,553 kb/s,585 kb/s,554 kb/s,533 kb/s,507 kb/s,506 kb/s,545 kb/s,541 kb/s,535 kb/s,543 kb/s,458 kb/s,,,,,,,,,,,,
2025-11-29 00:37:00,714 kb/s,609 kb/s,628 kb/s,589 kb/s,570 kb/s,539 kb/s,543 kb/s,589 kb/s,584 kb/s,570 kb/s,592 kb/s,493 kb/s,,,,,,,,,,,,
2025-11-29 00:37:15,772 kb/s,651 kb/s,673 kb/s,643 kb/s,621 kb/s,576 kb/s,580 kb/s,628 kb/s,630 kb/s,605 kb/s,640 kb/s,530 kb/s,,,,,,,,,,,,
2025-11-29 00:37:30,824 kb/s,685 kb/s,742 kb/s,688 kb/s,660 kb/s,626 kb/s,627 kb/s,685 kb/s,670 kb/s,642 kb/s,684 kb/s,575 kb/s,,,,,,,,,,,,
2025-11-29 00:37:45,869 kb/s,732 kb/s,785 kb/s,741 kb/s,698 kb/s,659 kb/s,663 kb/s,726 kb/s,728 kb/s,695 kb/s,725 kb/s,612 kb/s,,,,,,,,,,,,
2025-11-29 00:38:00,921 kb/s,791 kb/s,821 kb/s,782 kb/s,741 kb/s,689 kb/s,707 kb/s,769 kb/s,763 kb/s,734 kb/s,767 kb/s,645 kb/s,,,,,,,,,,,,
2025-11-29 00:38:15,999 kb/s,829 kb/s,863 kb/s,840 kb/s,788 kb/s,728 kb/s,743 kb/s,808 kb/s,807 kb/s,778 kb/s,810 kb/s,684 kb/s,,,,,,,,,,,,
2025-11-29 00:38:30,1.04 Mb/s,865 kb/s,919 kb/s,875 kb/s,820 kb/s,772 kb/s,784 kb/s,844 kb/s,821 kb/s,802 kb/s,850 kb/s,709 kb/s,,,,,,,,,,,,
2025-11-29 00:38:45,1.04 Mb/s,861 kb/s,931 kb/s,886 kb/s,825 kb/s,782 kb/s,784 kb/s,849 kb/s,857 kb/s,831 kb/s,862 kb/s,719 kb/s,,,,,,,,,,,,
2025-11-29 00:39:00,1.01 Mb/s,884 kb/s,939 kb/s,874 kb/s,821 kb/s,789 kb/s,791 kb/s,869 kb/s,863 kb/s,841 kb/s,872 kb/s,729 kb/s,,,,,,,,,,,,
2025-11-29 00:39:15,1.03 Mb/s,887 kb/s,935 kb/s,898 kb/s,846 kb/s,781 kb/s,787 kb/s,863 kb/s,872 kb/s,843 kb/s,874 kb/s,738 kb/s,,,,,,,,,,,,
2025-11-29 00:39:30,1.04 Mb/s,887 kb/s,965 kb/s,903 kb/s,862 kb/s,800 kb/s,811 kb/s,881 kb/s,858 kb/s,838 kb/s,887 kb/s,758 kb/s,,,,,,,,,,,,
2025-11-29 00:39:45,1.04 Mb/s,882 kb/s,969 kb/s,911 kb/s,858 kb/s,807 kb/s,813 kb/s,880 kb/s,867 kb/s,857 kb/s,892 kb/s,766 kb/s,,,,,,,,,,,,
2025-11-29 00:40:00,1.01 Mb/s,912 kb/s,976 kb/s,902 kb/s,850 kb/s,805 kb/s,820 kb/s,886 kb/s,862 kb/s,858 kb/s,905 kb/s,768 kb/s,,,,,,,,,,,,
2025-11-29 00:40:15,1.03 Mb/s,916 kb/s,961 kb/s,927 kb/s,869 kb/s,792 kb/s,805 kb/s,874 kb/s,872 kb/s,849 kb/s,910 kb/s,768 kb/s,,,,,,,,,,,,
2025-11-29 00:40:30,1.04 Mb/s,911 kb/s,993 kb/s,925 kb/s,870 kb/s,805 kb/s,822 kb/s,893 kb/s,865 kb/s,846 kb/s,929 kb/s,774 kb/s,,,,,,,,,,,,
2025-11-29 00:40:45,1.03 Mb/s,906 kb/s,1.00 Mb/s,934 kb/s,864 kb/s,808 kb/s,817 kb/s,893 kb/s,886 kb/s,855 kb/s,926 kb/s,780 kb/s,,,,,,,,,,,,
2025-11-29 00:41:00,1.03 Mb/s,922 kb/s,1.00 Mb/s,924 kb/s,851 kb/s,804 kb/s,820 kb/s,897 kb/s,892 kb/s,862 kb/s,937 kb/s,780 kb/s,,,,,,,,,,,,
2025-11-29 00:41:15,1.06 Mb/s,930 kb/s,992 kb/s,943 kb/s,870 kb/s,799 kb/s,820 kb/s,868 kb/s,912 kb/s,856 kb/s,940 kb/s,773 kb/s,,,,,,,,,,,,
2025-11-29 00:41:30,1.06 Mb/s,930 kb/s,1.01 Mb/s,949 kb/s,878 kb/s,810 kb/s,840 kb/s,884 kb/s,892 kb/s,854 kb/s,950 kb/s,787 kb/s,,,,,,,,,,,,
2025-11-29 00:41:45,1.06 Mb/s,922 kb/s,1.01 Mb/s,963 kb/s,878 kb/s,819 kb/s,840 kb/s,884 kb/s,908 kb/s,879 kb/s,946 kb/s,790 kb/s,,,,,,,,,,,,
2025-11-29 00:42:00,1.05 Mb/s,936 kb/s,1.01 Mb/s,944 kb/s,874 kb/s,823 kb/s,845 kb/s,892 kb/s,906 kb/s,882 kb/s,938 kb/s,785 kb/s,,,,,,,,,,,,
2025-11-29 00:42:15,1.08 Mb/s,945 kb/s,993 kb/s,957 kb/s,887 kb/s,808 kb/s,839 kb/s,873 kb/s,913 kb/s,884 kb/s,947 kb/s,779 kb/s,,,,,,,,,,,,
2025-11-29 00:42:30,1.08 Mb/s,941 kb/s,1.01 Mb/s,939 kb/s,889 kb/s,822 kb/s,855 kb/s,889 kb/s,896 kb/s,869 kb/s,961 kb/s,793 kb/s,,,,,,,,,,,,
2025-11-29 00:42:45,1.07 Mb/s,935 kb/s,1.01 Mb/s,945 kb/s,881 kb/s,830 kb/s,847 kb/s,882 kb/s,917 kb/s,891 kb/s,961 kb/s,800 kb/s,,,,,,,,,,,,
2025-11-29 00:43:00,1.05 Mb/s,952 kb/s,1.01 Mb/s,927 kb/s,875 kb/s,822 kb/s,863 kb/s,892 kb/s,913 kb/s,890 kb/s,963 kb/s,796 kb/s,,,,,,,,,,,,
2025-11-29 00:43:15,1.06 Mb/s,946 kb/s,989 kb/s,945 kb/s,891 kb/s,798 kb/s,847 kb/s,882 kb/s,925 kb/s,885 kb/s,971 kb/s,797 kb/s,,,,,,,,,,,,
2025-11-29 00:43:30,1.07 Mb/s,945 kb/s,1.01 Mb/s,936 kb/s,890 kb/s,816 kb/s,865 kb/s,900 kb/s,909 kb/s,872 kb/s,984 kb/s,812 kb/s,,,,,,,,,,,,
2025-11-29 00:43:45,1.07 Mb/s,931 kb/s,1.01 Mb/s,946 kb/s,884 kb/s,816 kb/s,864 kb/s,888 kb/s,925 kb/s,886 kb/s,977 kb/s,809 kb/s,,,,,,,,,,,,
