"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}"
2025-11-29 00:54:15,,1.10 kb/s,998 b/s,,2.09 kb/s,,,1.58 kb/s,,,,,,,,,,,,,,,,
2025-11-29 00:54:30,1.35 kb/s,3.09 kb/s,2.99 kb/s,1.12 kb/s,3.60 kb/s,3.34 kb/s,1.32 kb/s,3.14 kb/s,1.02 kb/s,2.63 kb/s,857 b/s,1.06 kb/s,,,,,,,,,,,,
2025-11-29 00:54:45,6.24 kb/s,29.9 kb/s,26.4 kb/s,3.69 kb/s,26.7 kb/s,6.13 kb/s,3.74 kb/s,34.1 kb/s,3.52 kb/s,21.9 kb/s,6.34 kb/s,3.69 kb/s,,,,,,,,,,,,
2025-11-29 00:55:00,75.7 kb/s,62.3 kb/s,55.7 kb/s,43.2 kb/s,54.5 kb/s,57.6 kb/s,48.6 kb/s,59.0 kb/s,46.7 kb/s,63.7 kb/s,62.2 kb/s,36.9 kb/s,,,,,,,,,,,,
2025-11-29 00:55:15,110 kb/s,92.3 kb/s,86.1 kb/s,83.8 kb/s,83.2 kb/s,86.7 kb/s,91.3 kb/s,90.7 kb/s,77.7 kb/s,92.0 kb/s,92.6 kb/s,79.5 kb/s,,,,,,,,,,,,
2025-11-29 00:55:30,146 kb/s,120 kb/s,129 kb/s,123 kb/s,113 kb/s,120 kb/s,122 kb/s,117 kb/s,127 kb/s,121 kb/s,119 kb/s,130 kb/s,,,,,,,,,,,,
2025-11-29 00:55:45,187 kb/s,167 kb/s,157 kb/s,150 kb/s,157 kb/s,148 kb/s,149 kb/s,162 kb/s,158 kb/s,160 kb/s,153 kb/s,163 kb/s,,,,,,,,,,,,
2025-11-29 00:56:00,248 kb/s,193 kb/s,187 kb/s,182 kb/s,189 kb/s,194 kb/s,186 kb/s,190 kb/s,192 kb/s,195 kb/s,193 kb/s,190 kb/s,,,,,,,,,,,,
2025-11-29 00:56:15,280 kb/s,225 kb/s,217 kb/s,216 kb/s,217 kb/s,226 kb/s,229 kb/s,228 kb/s,222 kb/s,220 kb/s,230 kb/s,222 kb/s,,,,,,,,,,,,
2025-11-29 00:56:30,312 kb/s,249 kb/s,262 kb/s,252 kb/s,254 kb/s,261 kb/s,256 kb/s,252 kb/s,276 kb/s,250 kb/s,255 kb/s,266 kb/s,,,,,,,,,,,,
2025-11-29 00:56:45,351 kb/s,290 kb/s,288 kb/s,281 kb/s,297 kb/s,289 kb/s,284 kb/s,296 kb/s,299 kb/s,284 kb/s,286 kb/s,300 kb/s,,,,,,,,,,,,
2025-11-29 00:57:00,399 kb/s,321 kb/s,316 kb/s,315 kb/s,326 kb/s,334 kb/s,323 kb/s,322 kb/s,338 kb/s,323 kb/s,325 kb/s,329 kb/s,,,,,,,,,,,,
2025-11-29 00:57:15,427 kb/s,352 kb/s,344 kb/s,351 kb/s,350 kb/s,362 kb/s,361 kb/s,350 kb/s,365 kb/s,347 kb/s,359 kb/s,363 kb/s,,,,,,,,,,,,
2025-11-29 00:57:30,460 kb/s,378 kb/s,386 kb/s,382 kb/s,385 kb/s,394 kb/s,388 kb/s,371 kb/s,405 kb/s,381 kb/s,388 kb/s,406 kb/s,,,,,,,,,,,,
2025-11-29 00:57:45,488 kb/s,420 kb/s,421 kb/s,409 kb/s,432 kb/s,419 kb/s,415 kb/s,420 kb/s,434 kb/s,411 kb/s,421 kb/s,437 kb/s,,,,,,,,,,,,
2025-11-29 00:58:00,536 kb/s,448 kb/s,454 kb/s,437 kb/s,455 kb/s,456 kb/s,449 kb/s,447 kb/s,471 kb/s,447 kb/s,464 kb/s,466 kb/s,,,,,,,,,,,,
2025-11-29 00:58:15,572 kb/s,479 kb/s,477 kb/s,475 kb/s,484 kb/s,482 kb/s,493 kb/s,478 kb/s,495 kb/s,472 kb/s,494 kb/s,497 kb/s,,,,,,,,,,,,
2025-11-29 00:58:30,599 kb/s,513 kb/s,518 kb/s,509 kb/s,509 kb/s,513 kb/s,520 kb/s,506 kb/s,537 kb/s,500 kb/s,519 kb/s,549 kb/s,,,,,,,,,,,,
2025-11-29 00:58:45,631 kb/s,555 kb/s,544 kb/s,536 kb/s,552 kb/s,540 kb/s,548 kb/s,550 kb/s,567 kb/s,531 kb/s,551 kb/s,585 kb/s,,,,,,,,,,,,
