"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-besu:5054"", job=""cl-12-lighthouse-besu"", service=""cl-12-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-besu:5054"", job=""cl-09-lighthouse-besu"", service=""cl-09-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-besu:5054"", job=""cl-11-lighthouse-besu"", service=""cl-11-lighthouse-besu"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-besu:5054"", job=""cl-10-lighthouse-besu"", service=""cl-10-lighthouse-besu"", supernode=""True""}"
2025-11-29 00:54:15,,11.7 kb/s,10.7 kb/s,,13.0 kb/s,,,12.0 kb/s,,,,,,,,,,,,,,,,
2025-11-29 00:54:30,13.5 kb/s,21.3 kb/s,19.9 kb/s,15.5 kb/s,22.8 kb/s,18.2 kb/s,14.8 kb/s,21.9 kb/s,15.7 kb/s,17.9 kb/s,13.5 kb/s,16.0 kb/s,,,,,,,,,,,,
2025-11-29 00:54:45,25.4 kb/s,48.3 kb/s,50.4 kb/s,24.7 kb/s,50.3 kb/s,25.1 kb/s,23.7 kb/s,47.4 kb/s,25.2 kb/s,36.6 kb/s,25.1 kb/s,25.7 kb/s,,,,,,,,,,,,
2025-11-29 00:55:00,106 kb/s,75.5 kb/s,81.7 kb/s,57.2 kb/s,82.6 kb/s,87.1 kb/s,62.5 kb/s,80.2 kb/s,75.8 kb/s,88.4 kb/s,92.2 kb/s,72.6 kb/s,,,,,,,,,,,,
2025-11-29 00:55:15,155 kb/s,113 kb/s,113 kb/s,91.8 kb/s,115 kb/s,124 kb/s,121 kb/s,119 kb/s,114 kb/s,122 kb/s,127 kb/s,120 kb/s,,,,,,,,,,,,
2025-11-29 00:55:30,193 kb/s,147 kb/s,159 kb/s,126 kb/s,157 kb/s,166 kb/s,158 kb/s,151 kb/s,170 kb/s,166 kb/s,160 kb/s,183 kb/s,,,,,,,,,,,,
2025-11-29 00:55:45,241 kb/s,196 kb/s,196 kb/s,159 kb/s,213 kb/s,201 kb/s,200 kb/s,202 kb/s,204 kb/s,204 kb/s,199 kb/s,219 kb/s,,,,,,,,,,,,
2025-11-29 00:56:00,307 kb/s,232 kb/s,231 kb/s,197 kb/s,248 kb/s,260 kb/s,235 kb/s,235 kb/s,252 kb/s,255 kb/s,262 kb/s,256 kb/s,,,,,,,,,,,,
2025-11-29 00:56:15,355 kb/s,273 kb/s,269 kb/s,234 kb/s,286 kb/s,296 kb/s,289 kb/s,266 kb/s,285 kb/s,296 kb/s,298 kb/s,302 kb/s,,,,,,,,,,,,
2025-11-29 00:56:30,399 kb/s,312 kb/s,320 kb/s,277 kb/s,327 kb/s,337 kb/s,324 kb/s,302 kb/s,336 kb/s,339 kb/s,335 kb/s,363 kb/s,,,,,,,,,,,,
2025-11-29 00:56:45,446 kb/s,369 kb/s,357 kb/s,310 kb/s,381 kb/s,370 kb/s,358 kb/s,348 kb/s,376 kb/s,379 kb/s,374 kb/s,399 kb/s,,,,,,,,,,,,
2025-11-29 00:57:00,521 kb/s,399 kb/s,395 kb/s,352 kb/s,418 kb/s,420 kb/s,392 kb/s,384 kb/s,419 kb/s,419 kb/s,427 kb/s,437 kb/s,,,,,,,,,,,,
2025-11-29 00:57:15,564 kb/s,438 kb/s,432 kb/s,391 kb/s,455 kb/s,455 kb/s,443 kb/s,424 kb/s,454 kb/s,452 kb/s,456 kb/s,484 kb/s,,,,,,,,,,,,
2025-11-29 00:57:30,599 kb/s,476 kb/s,485 kb/s,431 kb/s,495 kb/s,500 kb/s,479 kb/s,458 kb/s,511 kb/s,489 kb/s,486 kb/s,541 kb/s,,,,,,,,,,,,
2025-11-29 00:57:45,650 kb/s,526 kb/s,515 kb/s,461 kb/s,557 kb/s,537 kb/s,513 kb/s,507 kb/s,550 kb/s,530 kb/s,522 kb/s,578 kb/s,,,,,,,,,,,,
2025-11-29 00:58:00,712 kb/s,562 kb/s,548 kb/s,498 kb/s,598 kb/s,594 kb/s,550 kb/s,548 kb/s,589 kb/s,569 kb/s,572 kb/s,613 kb/s,,,,,,,,,,,,
2025-11-29 00:58:15,752 kb/s,607 kb/s,590 kb/s,537 kb/s,632 kb/s,630 kb/s,595 kb/s,587 kb/s,632 kb/s,606 kb/s,609 kb/s,664 kb/s,,,,,,,,,,,,
2025-11-29 00:58:30,791 kb/s,638 kb/s,640 kb/s,578 kb/s,676 kb/s,679 kb/s,627 kb/s,618 kb/s,690 kb/s,649 kb/s,642 kb/s,713 kb/s,,,,,,,,,,,,
2025-11-29 00:58:45,842 kb/s,690 kb/s,682 kb/s,616 kb/s,730 kb/s,714 kb/s,658 kb/s,668 kb/s,729 kb/s,690 kb/s,683 kb/s,748 kb/s,,,,,,,,,,,,
2025-11-29 00:59:00,910 kb/s,726 kb/s,726 kb/s,648 kb/s,763 kb/s,768 kb/s,697 kb/s,702 kb/s,783 kb/s,736 kb/s,724 kb/s,783 kb/s,,,,,,,,,,,,
