"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}"
2025-11-28 19:43:15,1.45 kb/s,1.46 kb/s,1.12 kb/s,1.43 kb/s,1.23 kb/s,1.94 kb/s,1.07 kb/s,1.11 kb/s,2.23 kb/s,1.40 kb/s,1.44 kb/s,915 b/s,,,,,,,,,,,,
2025-11-28 19:43:30,2.44 kb/s,3.55 kb/s,3.36 kb/s,3.04 kb/s,3.24 kb/s,2.66 kb/s,3.19 kb/s,3.22 kb/s,2.53 kb/s,2.52 kb/s,2.53 kb/s,2.99 kb/s,,,,,,,,,,,,
2025-11-28 19:43:45,7.10 kb/s,15.6 kb/s,37.8 kb/s,34.5 kb/s,26.4 kb/s,4.33 kb/s,32.9 kb/s,26.0 kb/s,4.71 kb/s,7.12 kb/s,7.11 kb/s,32.7 kb/s,,,,,,,,,,,,
2025-11-28 19:44:00,44.8 kb/s,63.3 kb/s,70.7 kb/s,70.6 kb/s,53.9 kb/s,43.2 kb/s,71.4 kb/s,57.0 kb/s,41.9 kb/s,49.1 kb/s,52.5 kb/s,68.9 kb/s,,,,,,,,,,,,
2025-11-28 19:44:15,102 kb/s,95.8 kb/s,97.0 kb/s,112 kb/s,89.0 kb/s,88.5 kb/s,107 kb/s,87.3 kb/s,88.1 kb/s,92.4 kb/s,101 kb/s,106 kb/s,,,,,,,,,,,,
2025-11-28 19:44:30,133 kb/s,130 kb/s,127 kb/s,149 kb/s,130 kb/s,120 kb/s,135 kb/s,112 kb/s,126 kb/s,125 kb/s,129 kb/s,138 kb/s,,,,,,,,,,,,
2025-11-28 19:44:45,183 kb/s,163 kb/s,168 kb/s,180 kb/s,160 kb/s,146 kb/s,185 kb/s,154 kb/s,155 kb/s,162 kb/s,159 kb/s,163 kb/s,,,,,,,,,,,,
2025-11-28 19:45:00,214 kb/s,202 kb/s,198 kb/s,211 kb/s,186 kb/s,180 kb/s,213 kb/s,186 kb/s,190 kb/s,189 kb/s,183 kb/s,200 kb/s,,,,,,,,,,,,
2025-11-28 19:45:15,264 kb/s,230 kb/s,229 kb/s,254 kb/s,218 kb/s,224 kb/s,253 kb/s,213 kb/s,226 kb/s,235 kb/s,227 kb/s,241 kb/s,,,,,,,,,,,,
2025-11-28 19:45:30,300 kb/s,260 kb/s,260 kb/s,286 kb/s,263 kb/s,255 kb/s,288 kb/s,241 kb/s,262 kb/s,263 kb/s,256 kb/s,268 kb/s,,,,,,,,,,,,
2025-11-28 19:45:45,337 kb/s,296 kb/s,305 kb/s,319 kb/s,293 kb/s,281 kb/s,338 kb/s,281 kb/s,286 kb/s,302 kb/s,288 kb/s,295 kb/s,,,,,,,,,,,,
2025-11-28 19:46:00,367 kb/s,337 kb/s,337 kb/s,354 kb/s,320 kb/s,315 kb/s,363 kb/s,304 kb/s,320 kb/s,327 kb/s,311 kb/s,327 kb/s,,,,,,,,,,,,
2025-11-28 19:46:15,416 kb/s,365 kb/s,361 kb/s,404 kb/s,353 kb/s,361 kb/s,397 kb/s,332 kb/s,359 kb/s,365 kb/s,351 kb/s,373 kb/s,,,,,,,,,,,,
2025-11-28 19:46:30,444 kb/s,403 kb/s,393 kb/s,442 kb/s,400 kb/s,393 kb/s,423 kb/s,355 kb/s,390 kb/s,390 kb/s,377 kb/s,403 kb/s,,,,,,,,,,,,
2025-11-28 19:46:45,480 kb/s,436 kb/s,442 kb/s,471 kb/s,427 kb/s,417 kb/s,465 kb/s,399 kb/s,415 kb/s,425 kb/s,409 kb/s,427 kb/s,,,,,,,,,,,,
2025-11-28 19:47:00,511 kb/s,479 kb/s,472 kb/s,503 kb/s,458 kb/s,449 kb/s,494 kb/s,430 kb/s,448 kb/s,450 kb/s,442 kb/s,465 kb/s,,,,,,,,,,,,
2025-11-28 19:47:15,566 kb/s,508 kb/s,500 kb/s,543 kb/s,491 kb/s,489 kb/s,526 kb/s,467 kb/s,484 kb/s,492 kb/s,490 kb/s,510 kb/s,,,,,,,,,,,,
2025-11-28 19:47:30,606 kb/s,544 kb/s,530 kb/s,588 kb/s,533 kb/s,518 kb/s,553 kb/s,492 kb/s,519 kb/s,523 kb/s,526 kb/s,539 kb/s,,,,,,,,,,,,
