"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}"
2025-11-28 19:43:15,15.6 kb/s,13.6 kb/s,13.0 kb/s,11.3 kb/s,11.6 kb/s,16.5 kb/s,12.6 kb/s,12.7 kb/s,16.9 kb/s,15.2 kb/s,15.5 kb/s,10.9 kb/s,,,,,,,,,,,,
2025-11-28 19:43:30,22.8 kb/s,24.8 kb/s,23.7 kb/s,20.4 kb/s,21.3 kb/s,23.1 kb/s,22.8 kb/s,23.0 kb/s,23.7 kb/s,22.2 kb/s,22.7 kb/s,19.9 kb/s,,,,,,,,,,,,
2025-11-28 19:43:45,34.8 kb/s,45.5 kb/s,57.0 kb/s,61.2 kb/s,50.0 kb/s,31.9 kb/s,50.2 kb/s,54.8 kb/s,32.8 kb/s,33.8 kb/s,34.7 kb/s,54.3 kb/s,,,,,,,,,,,,
2025-11-28 19:44:00,79.0 kb/s,107 kb/s,95.7 kb/s,103 kb/s,77.4 kb/s,68.0 kb/s,83.2 kb/s,91.1 kb/s,76.0 kb/s,75.0 kb/s,71.9 kb/s,91.3 kb/s,,,,,,,,,,,,
2025-11-28 19:44:15,149 kb/s,139 kb/s,135 kb/s,149 kb/s,106 kb/s,118 kb/s,123 kb/s,129 kb/s,114 kb/s,134 kb/s,129 kb/s,144 kb/s,,,,,,,,,,,,
2025-11-28 19:44:30,195 kb/s,183 kb/s,181 kb/s,193 kb/s,150 kb/s,148 kb/s,158 kb/s,162 kb/s,159 kb/s,165 kb/s,165 kb/s,178 kb/s,,,,,,,,,,,,
2025-11-28 19:44:45,227 kb/s,230 kb/s,244 kb/s,225 kb/s,179 kb/s,184 kb/s,212 kb/s,214 kb/s,193 kb/s,201 kb/s,208 kb/s,215 kb/s,,,,,,,,,,,,
2025-11-28 19:45:00,270 kb/s,282 kb/s,280 kb/s,265 kb/s,208 kb/s,218 kb/s,251 kb/s,245 kb/s,230 kb/s,230 kb/s,247 kb/s,250 kb/s,,,,,,,,,,,,
2025-11-28 19:45:15,339 kb/s,315 kb/s,316 kb/s,317 kb/s,242 kb/s,265 kb/s,287 kb/s,286 kb/s,272 kb/s,282 kb/s,300 kb/s,306 kb/s,,,,,,,,,,,,
2025-11-28 19:45:30,378 kb/s,360 kb/s,359 kb/s,360 kb/s,288 kb/s,299 kb/s,316 kb/s,317 kb/s,314 kb/s,317 kb/s,335 kb/s,346 kb/s,,,,,,,,,,,,
2025-11-28 19:45:45,425 kb/s,403 kb/s,419 kb/s,390 kb/s,319 kb/s,334 kb/s,371 kb/s,371 kb/s,349 kb/s,348 kb/s,377 kb/s,382 kb/s,,,,,,,,,,,,
2025-11-28 19:46:00,462 kb/s,446 kb/s,454 kb/s,430 kb/s,346 kb/s,370 kb/s,410 kb/s,406 kb/s,387 kb/s,380 kb/s,415 kb/s,423 kb/s,,,,,,,,,,,,
2025-11-28 19:46:15,531 kb/s,477 kb/s,490 kb/s,468 kb/s,379 kb/s,415 kb/s,445 kb/s,445 kb/s,425 kb/s,437 kb/s,468 kb/s,472 kb/s,,,,,,,,,,,,
2025-11-28 19:46:30,574 kb/s,510 kb/s,533 kb/s,514 kb/s,427 kb/s,449 kb/s,481 kb/s,480 kb/s,474 kb/s,475 kb/s,507 kb/s,509 kb/s,,,,,,,,,,,,
2025-11-28 19:46:45,624 kb/s,551 kb/s,588 kb/s,553 kb/s,461 kb/s,487 kb/s,538 kb/s,531 kb/s,512 kb/s,510 kb/s,545 kb/s,547 kb/s,,,,,,,,,,,,
2025-11-28 19:47:00,666 kb/s,591 kb/s,628 kb/s,598 kb/s,491 kb/s,525 kb/s,577 kb/s,564 kb/s,552 kb/s,545 kb/s,575 kb/s,584 kb/s,,,,,,,,,,,,
2025-11-28 19:47:15,735 kb/s,629 kb/s,664 kb/s,648 kb/s,528 kb/s,583 kb/s,630 kb/s,601 kb/s,602 kb/s,600 kb/s,628 kb/s,635 kb/s,,,,,,,,,,,,
2025-11-28 19:47:30,774 kb/s,677 kb/s,716 kb/s,689 kb/s,582 kb/s,625 kb/s,671 kb/s,638 kb/s,647 kb/s,637 kb/s,663 kb/s,675 kb/s,,,,,,,,,,,,
2025-11-28 19:47:45,830 kb/s,722 kb/s,770 kb/s,735 kb/s,617 kb/s,662 kb/s,732 kb/s,690 kb/s,679 kb/s,678 kb/s,712 kb/s,713 kb/s,,,,,,,,,,,,
