"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}"
2025-11-29 04:53:30,1.64 kb/s,1.07 kb/s,1.72 kb/s,,2.10 kb/s,1.14 kb/s,1.05 kb/s,1.55 kb/s,1.39 kb/s,2.35 kb/s,1.00 kb/s,912 b/s,,,,,,,,,,,,
2025-11-29 04:53:45,2.71 kb/s,3.57 kb/s,2.43 kb/s,2.24 kb/s,2.47 kb/s,3.47 kb/s,3.19 kb/s,2.30 kb/s,2.54 kb/s,2.62 kb/s,3.20 kb/s,2.94 kb/s,,,,,,,,,,,,
2025-11-29 04:54:00,4.46 kb/s,34.4 kb/s,4.11 kb/s,4.06 kb/s,4.60 kb/s,6.39 kb/s,28.9 kb/s,6.67 kb/s,7.10 kb/s,4.88 kb/s,27.0 kb/s,34.2 kb/s,,,,,,,,,,,,
2025-11-29 04:54:15,49.5 kb/s,68.4 kb/s,45.8 kb/s,45.0 kb/s,42.6 kb/s,59.1 kb/s,61.5 kb/s,67.9 kb/s,57.1 kb/s,49.0 kb/s,58.6 kb/s,65.6 kb/s,,,,,,,,,,,,
2025-11-29 04:54:30,104 kb/s,95.7 kb/s,93.9 kb/s,85.5 kb/s,86.5 kb/s,89.1 kb/s,86.5 kb/s,94.3 kb/s,99.8 kb/s,81.8 kb/s,83.2 kb/s,97.9 kb/s,,,,,,,,,,,,
2025-11-29 04:54:45,159 kb/s,127 kb/s,123 kb/s,142 kb/s,114 kb/s,123 kb/s,123 kb/s,120 kb/s,131 kb/s,127 kb/s,115 kb/s,145 kb/s,,,,,,,,,,,,
2025-11-29 04:55:00,190 kb/s,167 kb/s,148 kb/s,177 kb/s,139 kb/s,145 kb/s,171 kb/s,159 kb/s,164 kb/s,162 kb/s,155 kb/s,169 kb/s,,,,,,,,,,,,
2025-11-29 04:55:15,233 kb/s,195 kb/s,185 kb/s,205 kb/s,174 kb/s,191 kb/s,199 kb/s,195 kb/s,191 kb/s,196 kb/s,183 kb/s,204 kb/s,,,,,,,,,,,,
2025-11-29 04:55:30,275 kb/s,218 kb/s,227 kb/s,237 kb/s,217 kb/s,220 kb/s,225 kb/s,222 kb/s,237 kb/s,220 kb/s,207 kb/s,243 kb/s,,,,,,,,,,,,
2025-11-29 04:55:45,333 kb/s,251 kb/s,252 kb/s,293 kb/s,246 kb/s,252 kb/s,253 kb/s,249 kb/s,266 kb/s,264 kb/s,239 kb/s,280 kb/s,,,,,,,,,,,,
2025-11-29 04:56:00,367 kb/s,293 kb/s,278 kb/s,333 kb/s,271 kb/s,281 kb/s,290 kb/s,281 kb/s,298 kb/s,295 kb/s,281 kb/s,308 kb/s,,,,,,,,,,,,
2025-11-29 04:56:15,397 kb/s,319 kb/s,309 kb/s,363 kb/s,305 kb/s,325 kb/s,322 kb/s,320 kb/s,328 kb/s,327 kb/s,312 kb/s,336 kb/s,,,,,,,,,,,,
2025-11-29 04:56:30,431 kb/s,344 kb/s,352 kb/s,403 kb/s,343 kb/s,347 kb/s,349 kb/s,351 kb/s,376 kb/s,355 kb/s,343 kb/s,374 kb/s,,,,,,,,,,,,
2025-11-29 04:56:45,480 kb/s,376 kb/s,378 kb/s,459 kb/s,372 kb/s,379 kb/s,382 kb/s,378 kb/s,404 kb/s,405 kb/s,375 kb/s,418 kb/s,,,,,,,,,,,,
2025-11-29 04:57:00,511 kb/s,412 kb/s,407 kb/s,495 kb/s,396 kb/s,406 kb/s,433 kb/s,414 kb/s,437 kb/s,431 kb/s,413 kb/s,441 kb/s,,,,,,,,,,,,
2025-11-29 04:57:15,546 kb/s,438 kb/s,447 kb/s,523 kb/s,428 kb/s,446 kb/s,461 kb/s,457 kb/s,464 kb/s,468 kb/s,442 kb/s,468 kb/s,,,,,,,,,,,,
2025-11-29 04:57:30,583 kb/s,463 kb/s,493 kb/s,568 kb/s,467 kb/s,475 kb/s,484 kb/s,488 kb/s,519 kb/s,494 kb/s,468 kb/s,501 kb/s,,,,,,,,,,,,
2025-11-29 04:57:45,635 kb/s,500 kb/s,518 kb/s,613 kb/s,494 kb/s,511 kb/s,518 kb/s,515 kb/s,548 kb/s,543 kb/s,499 kb/s,541 kb/s,,,,,,,,,,,,
2025-11-29 04:58:00,663 kb/s,535 kb/s,545 kb/s,645 kb/s,520 kb/s,536 kb/s,563 kb/s,553 kb/s,579 kb/s,569 kb/s,543 kb/s,571 kb/s,,,,,,,,,,,,
2025-11-29 04:58:15,694 kb/s,563 kb/s,582 kb/s,667 kb/s,554 kb/s,577 kb/s,593 kb/s,601 kb/s,608 kb/s,603 kb/s,570 kb/s,599 kb/s,,,,,,,,,,,,
2025-11-29 04:58:30,732 kb/s,588 kb/s,629 kb/s,697 kb/s,597 kb/s,605 kb/s,619 kb/s,631 kb/s,658 kb/s,637 kb/s,599 kb/s,630 kb/s,,,,,,,,,,,,
2025-11-29 04:58:45,788 kb/s,609 kb/s,660 kb/s,749 kb/s,625 kb/s,639 kb/s,647 kb/s,654 kb/s,687 kb/s,677 kb/s,626 kb/s,672 kb/s,,,,,,,,,,,,
2025-11-29 04:59:00,786 kb/s,625 kb/s,655 kb/s,760 kb/s,619 kb/s,627 kb/s,661 kb/s,642 kb/s,678 kb/s,671 kb/s,640 kb/s,671 kb/s,,,,,,,,,,,,
2025-11-29 04:59:15,777 kb/s,630 kb/s,647 kb/s,760 kb/s,610 kb/s,644 kb/s,668 kb/s,658 kb/s,669 kb/s,675 kb/s,645 kb/s,663 kb/s,,,,,,,,,,,,
2025-11-29 04:59:30,777 kb/s,623 kb/s,660 kb/s,743 kb/s,622 kb/s,638 kb/s,659 kb/s,658 kb/s,682 kb/s,658 kb/s,641 kb/s,652 kb/s,,,,,,,,,,,,
2025-11-29 04:59:45,813 kb/s,613 kb/s,665 kb/s,759 kb/s,628 kb/s,651 kb/s,647 kb/s,646 kb/s,678 kb/s,665 kb/s,632 kb/s,674 kb/s,,,,,,,,,,,,
2025-11-29 05:00:00,818 kb/s,626 kb/s,654 kb/s,762 kb/s,615 kb/s,632 kb/s,664 kb/s,644 kb/s,685 kb/s,666 kb/s,646 kb/s,664 kb/s,,,,,,,,,,,,
2025-11-29 05:00:15,812 kb/s,634 kb/s,645 kb/s,764 kb/s,607 kb/s,644 kb/s,668 kb/s,660 kb/s,669 kb/s,680 kb/s,654 kb/s,647 kb/s,,,,,,,,,,,,
2025-11-29 05:00:30,803 kb/s,631 kb/s,673 kb/s,745 kb/s,617 kb/s,639 kb/s,664 kb/s,661 kb/s,682 kb/s,664 kb/s,645 kb/s,642 kb/s,,,,,,,,,,,,
2025-11-29 05:00:45,826 kb/s,619 kb/s,676 kb/s,747 kb/s,622 kb/s,645 kb/s,656 kb/s,656 kb/s,684 kb/s,676 kb/s,634 kb/s,660 kb/s,,,,,,,,,,,,
2025-11-29 05:01:00,829 kb/s,637 kb/s,674 kb/s,762 kb/s,614 kb/s,627 kb/s,663 kb/s,645 kb/s,683 kb/s,670 kb/s,638 kb/s,665 kb/s,,,,,,,,,,,,
2025-11-29 05:01:15,828 kb/s,639 kb/s,660 kb/s,751 kb/s,607 kb/s,647 kb/s,665 kb/s,655 kb/s,665 kb/s,680 kb/s,636 kb/s,653 kb/s,,,,,,,,,,,,
2025-11-29 05:01:30,821 kb/s,633 kb/s,692 kb/s,733 kb/s,621 kb/s,645 kb/s,656 kb/s,659 kb/s,690 kb/s,660 kb/s,629 kb/s,651 kb/s,,,,,,,,,,,,
2025-11-29 05:01:45,845 kb/s,627 kb/s,699 kb/s,737 kb/s,621 kb/s,647 kb/s,640 kb/s,650 kb/s,686 kb/s,687 kb/s,621 kb/s,669 kb/s,,,,,,,,,,,,
2025-11-29 05:02:00,842 kb/s,641 kb/s,681 kb/s,741 kb/s,616 kb/s,638 kb/s,655 kb/s,641 kb/s,690 kb/s,684 kb/s,629 kb/s,670 kb/s,,,,,,,,,,,,
2025-11-29 05:02:15,834 kb/s,646 kb/s,672 kb/s,724 kb/s,611 kb/s,654 kb/s,661 kb/s,654 kb/s,663 kb/s,693 kb/s,628 kb/s,662 kb/s,,,,,,,,,,,,
2025-11-29 05:02:30,819 kb/s,637 kb/s,684 kb/s,717 kb/s,626 kb/s,646 kb/s,654 kb/s,653 kb/s,682 kb/s,669 kb/s,622 kb/s,653 kb/s,,,,,,,,,,,,
2025-11-29 05:02:45,843 kb/s,637 kb/s,686 kb/s,730 kb/s,632 kb/s,651 kb/s,638 kb/s,645 kb/s,680 kb/s,688 kb/s,609 kb/s,669 kb/s,,,,,,,,,,,,
2025-11-29 05:03:00,848 kb/s,652 kb/s,676 kb/s,734 kb/s,622 kb/s,637 kb/s,648 kb/s,632 kb/s,681 kb/s,688 kb/s,620 kb/s,674 kb/s,,,,,,,,,,,,
