"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}"
2025-11-29 04:53:30,17.1 kb/s,12.4 kb/s,15.3 kb/s,,15.2 kb/s,13.3 kb/s,12.2 kb/s,14.1 kb/s,14.7 kb/s,16.4 kb/s,11.9 kb/s,10.9 kb/s,,,,,,,,,,,,
2025-11-29 04:53:45,24.0 kb/s,23.3 kb/s,22.1 kb/s,17.1 kb/s,22.4 kb/s,24.4 kb/s,22.7 kb/s,21.2 kb/s,21.6 kb/s,23.2 kb/s,22.1 kb/s,20.1 kb/s,,,,,,,,,,,,
2025-11-29 04:54:00,32.9 kb/s,56.8 kb/s,30.8 kb/s,26.5 kb/s,31.1 kb/s,31.6 kb/s,55.3 kb/s,32.5 kb/s,33.5 kb/s,32.3 kb/s,50.2 kb/s,57.9 kb/s,,,,,,,,,,,,
2025-11-29 04:54:15,85.1 kb/s,92.7 kb/s,72.6 kb/s,69.3 kb/s,75.2 kb/s,99.4 kb/s,96.3 kb/s,96.8 kb/s,63.7 kb/s,84.1 kb/s,84.3 kb/s,92.4 kb/s,,,,,,,,,,,,
2025-11-29 04:54:30,129 kb/s,126 kb/s,130 kb/s,116 kb/s,123 kb/s,132 kb/s,132 kb/s,134 kb/s,123 kb/s,125 kb/s,111 kb/s,133 kb/s,,,,,,,,,,,,
2025-11-29 04:54:45,200 kb/s,168 kb/s,171 kb/s,163 kb/s,159 kb/s,168 kb/s,176 kb/s,171 kb/s,153 kb/s,178 kb/s,144 kb/s,188 kb/s,,,,,,,,,,,,
2025-11-29 04:55:00,251 kb/s,224 kb/s,210 kb/s,208 kb/s,192 kb/s,208 kb/s,224 kb/s,207 kb/s,190 kb/s,208 kb/s,183 kb/s,233 kb/s,,,,,,,,,,,,
2025-11-29 04:55:15,289 kb/s,259 kb/s,255 kb/s,247 kb/s,235 kb/s,254 kb/s,265 kb/s,264 kb/s,224 kb/s,253 kb/s,212 kb/s,262 kb/s,,,,,,,,,,,,
2025-11-29 04:55:30,336 kb/s,292 kb/s,319 kb/s,292 kb/s,277 kb/s,288 kb/s,305 kb/s,303 kb/s,276 kb/s,291 kb/s,243 kb/s,304 kb/s,,,,,,,,,,,,
2025-11-29 04:55:45,396 kb/s,330 kb/s,365 kb/s,339 kb/s,316 kb/s,323 kb/s,351 kb/s,339 kb/s,311 kb/s,344 kb/s,277 kb/s,369 kb/s,,,,,,,,,,,,
2025-11-29 04:56:00,436 kb/s,376 kb/s,402 kb/s,380 kb/s,352 kb/s,355 kb/s,408 kb/s,383 kb/s,346 kb/s,382 kb/s,310 kb/s,409 kb/s,,,,,,,,,,,,
2025-11-29 04:56:15,478 kb/s,410 kb/s,452 kb/s,419 kb/s,395 kb/s,403 kb/s,443 kb/s,436 kb/s,377 kb/s,426 kb/s,338 kb/s,447 kb/s,,,,,,,,,,,,
2025-11-29 04:56:30,532 kb/s,445 kb/s,516 kb/s,462 kb/s,444 kb/s,445 kb/s,482 kb/s,474 kb/s,427 kb/s,461 kb/s,364 kb/s,488 kb/s,,,,,,,,,,,,
2025-11-29 04:56:45,615 kb/s,483 kb/s,558 kb/s,508 kb/s,480 kb/s,480 kb/s,526 kb/s,510 kb/s,462 kb/s,512 kb/s,400 kb/s,545 kb/s,,,,,,,,,,,,
2025-11-29 04:57:00,665 kb/s,532 kb/s,596 kb/s,550 kb/s,521 kb/s,517 kb/s,570 kb/s,546 kb/s,500 kb/s,554 kb/s,446 kb/s,588 kb/s,,,,,,,,,,,,
2025-11-29 04:57:15,705 kb/s,570 kb/s,635 kb/s,590 kb/s,563 kb/s,571 kb/s,610 kb/s,597 kb/s,536 kb/s,595 kb/s,481 kb/s,628 kb/s,,,,,,,,,,,,
2025-11-29 04:57:30,760 kb/s,605 kb/s,693 kb/s,633 kb/s,614 kb/s,607 kb/s,649 kb/s,636 kb/s,582 kb/s,630 kb/s,511 kb/s,671 kb/s,,,,,,,,,,,,
2025-11-29 04:57:45,836 kb/s,643 kb/s,738 kb/s,686 kb/s,650 kb/s,645 kb/s,688 kb/s,674 kb/s,621 kb/s,678 kb/s,550 kb/s,730 kb/s,,,,,,,,,,,,
2025-11-29 04:58:00,880 kb/s,693 kb/s,777 kb/s,730 kb/s,688 kb/s,680 kb/s,735 kb/s,717 kb/s,658 kb/s,717 kb/s,591 kb/s,767 kb/s,,,,,,,,,,,,
