"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}"
2025-11-28 20:30:30,,,,,1.04 kb/s,1.06 kb/s,,,,,,,,,,,,,,,,,,
2025-11-28 20:30:45,1.70 kb/s,1.40 kb/s,1.87 kb/s,1.68 kb/s,1.91 kb/s,1.94 kb/s,2.03 kb/s,1.43 kb/s,1.48 kb/s,1.41 kb/s,1.43 kb/s,1.27 kb/s,,,,,,,,,,,,
2025-11-28 20:31:00,2.63 kb/s,3.07 kb/s,2.42 kb/s,2.35 kb/s,3.46 kb/s,3.50 kb/s,2.58 kb/s,3.56 kb/s,3.68 kb/s,3.26 kb/s,2.55 kb/s,3.76 kb/s,,,,,,,,,,,,
2025-11-28 20:31:15,4.41 kb/s,29.0 kb/s,7.32 kb/s,6.96 kb/s,30.9 kb/s,28.7 kb/s,4.35 kb/s,30.7 kb/s,25.9 kb/s,7.76 kb/s,7.18 kb/s,24.6 kb/s,,,,,,,,,,,,
2025-11-28 20:31:30,44.3 kb/s,60.3 kb/s,65.6 kb/s,61.9 kb/s,61.6 kb/s,62.2 kb/s,48.2 kb/s,58.7 kb/s,55.6 kb/s,51.0 kb/s,48.2 kb/s,68.7 kb/s,,,,,,,,,,,,
2025-11-28 20:31:45,91.3 kb/s,84.8 kb/s,98.0 kb/s,87.5 kb/s,109 kb/s,104 kb/s,83.3 kb/s,84.8 kb/s,88.5 kb/s,98.9 kb/s,89.7 kb/s,92.1 kb/s,,,,,,,,,,,,
2025-11-28 20:32:00,142 kb/s,130 kb/s,125 kb/s,117 kb/s,141 kb/s,134 kb/s,128 kb/s,115 kb/s,119 kb/s,130 kb/s,118 kb/s,123 kb/s,,,,,,,,,,,,
2025-11-28 20:32:15,172 kb/s,159 kb/s,152 kb/s,150 kb/s,169 kb/s,159 kb/s,162 kb/s,158 kb/s,155 kb/s,164 kb/s,155 kb/s,163 kb/s,,,,,,,,,,,,
2025-11-28 20:32:30,210 kb/s,192 kb/s,192 kb/s,192 kb/s,196 kb/s,190 kb/s,203 kb/s,189 kb/s,183 kb/s,198 kb/s,187 kb/s,196 kb/s,,,,,,,,,,,,
2025-11-28 20:32:45,250 kb/s,225 kb/s,224 kb/s,223 kb/s,245 kb/s,236 kb/s,232 kb/s,221 kb/s,210 kb/s,241 kb/s,238 kb/s,229 kb/s,,,,,,,,,,,,
2025-11-28 20:33:00,295 kb/s,275 kb/s,256 kb/s,249 kb/s,269 kb/s,268 kb/s,273 kb/s,258 kb/s,236 kb/s,268 kb/s,265 kb/s,263 kb/s,,,,,,,,,,,,
2025-11-28 20:33:15,328 kb/s,304 kb/s,291 kb/s,284 kb/s,293 kb/s,292 kb/s,303 kb/s,300 kb/s,279 kb/s,301 kb/s,298 kb/s,302 kb/s,,,,,,,,,,,,
2025-11-28 20:33:30,369 kb/s,333 kb/s,325 kb/s,336 kb/s,327 kb/s,327 kb/s,335 kb/s,328 kb/s,303 kb/s,336 kb/s,326 kb/s,344 kb/s,,,,,,,,,,,,
2025-11-28 20:33:45,409 kb/s,367 kb/s,353 kb/s,361 kb/s,371 kb/s,377 kb/s,360 kb/s,353 kb/s,331 kb/s,384 kb/s,374 kb/s,376 kb/s,,,,,,,,,,,,
2025-11-28 20:34:00,457 kb/s,409 kb/s,377 kb/s,393 kb/s,406 kb/s,403 kb/s,396 kb/s,388 kb/s,365 kb/s,418 kb/s,402 kb/s,412 kb/s,,,,,,,,,,,,
2025-11-28 20:34:15,490 kb/s,437 kb/s,408 kb/s,423 kb/s,431 kb/s,431 kb/s,425 kb/s,432 kb/s,420 kb/s,450 kb/s,432 kb/s,455 kb/s,,,,,,,,,,,,
2025-11-28 20:34:30,530 kb/s,470 kb/s,448 kb/s,465 kb/s,468 kb/s,462 kb/s,459 kb/s,463 kb/s,450 kb/s,487 kb/s,454 kb/s,487 kb/s,,,,,,,,,,,,
2025-11-28 20:34:45,571 kb/s,497 kb/s,477 kb/s,491 kb/s,516 kb/s,505 kb/s,483 kb/s,498 kb/s,476 kb/s,539 kb/s,496 kb/s,516 kb/s,,,,,,,,,,,,
2025-11-28 20:35:00,618 kb/s,540 kb/s,501 kb/s,521 kb/s,547 kb/s,536 kb/s,535 kb/s,535 kb/s,513 kb/s,573 kb/s,529 kb/s,553 kb/s,,,,,,,,,,,,
