"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}"
2025-11-28 20:30:30,,,,,10.9 kb/s,11.2 kb/s,,,,,,,,,,,,,,,,,,
2025-11-28 20:30:45,17.5 kb/s,11.8 kb/s,14.7 kb/s,15.4 kb/s,17.7 kb/s,18.2 kb/s,17.6 kb/s,13.3 kb/s,13.8 kb/s,15.6 kb/s,15.9 kb/s,14.0 kb/s,,,,,,,,,,,,
2025-11-28 20:31:00,24.5 kb/s,21.0 kb/s,22.0 kb/s,22.4 kb/s,26.1 kb/s,26.7 kb/s,24.4 kb/s,23.8 kb/s,24.6 kb/s,23.0 kb/s,23.1 kb/s,25.0 kb/s,,,,,,,,,,,,
2025-11-28 20:31:15,33.2 kb/s,51.8 kb/s,33.2 kb/s,33.8 kb/s,64.6 kb/s,55.2 kb/s,33.4 kb/s,54.4 kb/s,50.4 kb/s,34.8 kb/s,34.7 kb/s,47.1 kb/s,,,,,,,,,,,,
2025-11-28 20:31:30,72.4 kb/s,90.6 kb/s,89.6 kb/s,87.3 kb/s,104 kb/s,92.2 kb/s,78.2 kb/s,88.8 kb/s,85.7 kb/s,74.1 kb/s,85.6 kb/s,87.0 kb/s,,,,,,,,,,,,
2025-11-28 20:31:45,129 kb/s,122 kb/s,123 kb/s,123 kb/s,147 kb/s,148 kb/s,110 kb/s,122 kb/s,116 kb/s,121 kb/s,146 kb/s,125 kb/s,,,,,,,,,,,,
2025-11-28 20:32:00,176 kb/s,170 kb/s,152 kb/s,153 kb/s,180 kb/s,184 kb/s,172 kb/s,158 kb/s,154 kb/s,153 kb/s,182 kb/s,166 kb/s,,,,,,,,,,,,
2025-11-28 20:32:15,226 kb/s,201 kb/s,188 kb/s,190 kb/s,214 kb/s,223 kb/s,205 kb/s,212 kb/s,211 kb/s,188 kb/s,222 kb/s,211 kb/s,,,,,,,,,,,,
2025-11-28 20:32:30,274 kb/s,235 kb/s,242 kb/s,244 kb/s,254 kb/s,263 kb/s,240 kb/s,245 kb/s,246 kb/s,222 kb/s,253 kb/s,254 kb/s,,,,,,,,,,,,
2025-11-28 20:32:45,330 kb/s,260 kb/s,274 kb/s,284 kb/s,306 kb/s,317 kb/s,275 kb/s,277 kb/s,286 kb/s,277 kb/s,306 kb/s,288 kb/s,,,,,,,,,,,,
2025-11-28 20:33:00,380 kb/s,308 kb/s,300 kb/s,322 kb/s,346 kb/s,350 kb/s,344 kb/s,316 kb/s,328 kb/s,314 kb/s,344 kb/s,330 kb/s,,,,,,,,,,,,
2025-11-28 20:33:15,416 kb/s,341 kb/s,329 kb/s,363 kb/s,386 kb/s,389 kb/s,379 kb/s,377 kb/s,383 kb/s,347 kb/s,384 kb/s,376 kb/s,,,,,,,,,,,,
2025-11-28 20:33:30,455 kb/s,379 kb/s,387 kb/s,406 kb/s,425 kb/s,428 kb/s,422 kb/s,415 kb/s,424 kb/s,380 kb/s,421 kb/s,415 kb/s,,,,,,,,,,,,
2025-11-28 20:33:45,509 kb/s,409 kb/s,423 kb/s,445 kb/s,478 kb/s,481 kb/s,457 kb/s,455 kb/s,460 kb/s,430 kb/s,468 kb/s,447 kb/s,,,,,,,,,,,,
2025-11-28 20:34:00,569 kb/s,464 kb/s,459 kb/s,478 kb/s,509 kb/s,524 kb/s,525 kb/s,501 kb/s,501 kb/s,462 kb/s,506 kb/s,483 kb/s,,,,,,,,,,,,
2025-11-28 20:34:15,614 kb/s,499 kb/s,500 kb/s,520 kb/s,553 kb/s,563 kb/s,563 kb/s,560 kb/s,545 kb/s,499 kb/s,548 kb/s,529 kb/s,,,,,,,,,,,,
2025-11-28 20:34:30,662 kb/s,540 kb/s,551 kb/s,576 kb/s,596 kb/s,607 kb/s,606 kb/s,602 kb/s,580 kb/s,529 kb/s,585 kb/s,575 kb/s,,,,,,,,,,,,
2025-11-28 20:34:45,720 kb/s,574 kb/s,589 kb/s,619 kb/s,652 kb/s,669 kb/s,644 kb/s,632 kb/s,615 kb/s,576 kb/s,635 kb/s,612 kb/s,,,,,,,,,,,,
2025-11-28 20:35:00,782 kb/s,629 kb/s,625 kb/s,655 kb/s,690 kb/s,710 kb/s,702 kb/s,685 kb/s,657 kb/s,609 kb/s,674 kb/s,657 kb/s,,,,,,,,,,,,
