"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}"
2025-11-28 20:51:15,,,1.38 kb/s,,,,1.41 kb/s,,,,,,,,,,,,,,,,,
2025-11-28 20:51:30,1.63 kb/s,1.19 kb/s,1.65 kb/s,1.18 kb/s,2.18 kb/s,1.28 kb/s,2.03 kb/s,1.30 kb/s,2.19 kb/s,1.38 kb/s,1.21 kb/s,1.67 kb/s,,,,,,,,,,,,
2025-11-28 20:51:45,2.71 kb/s,3.35 kb/s,6.48 kb/s,3.42 kb/s,2.26 kb/s,3.61 kb/s,3.61 kb/s,3.69 kb/s,2.23 kb/s,3.83 kb/s,3.47 kb/s,4.01 kb/s,,,,,,,,,,,,
2025-11-28 20:52:00,7.57 kb/s,38.0 kb/s,38.5 kb/s,35.6 kb/s,7.50 kb/s,32.2 kb/s,37.6 kb/s,42.7 kb/s,7.88 kb/s,6.90 kb/s,39.8 kb/s,28.6 kb/s,,,,,,,,,,,,
2025-11-28 20:52:15,77.3 kb/s,74.8 kb/s,84.6 kb/s,64.9 kb/s,62.6 kb/s,65.5 kb/s,68.3 kb/s,78.2 kb/s,50.6 kb/s,77.7 kb/s,67.9 kb/s,67.3 kb/s,,,,,,,,,,,,
2025-11-28 20:52:30,123 kb/s,109 kb/s,112 kb/s,101 kb/s,94.6 kb/s,99.8 kb/s,104 kb/s,101 kb/s,85.5 kb/s,108 kb/s,99.4 kb/s,97.0 kb/s,,,,,,,,,,,,
2025-11-28 20:52:45,160 kb/s,149 kb/s,144 kb/s,149 kb/s,124 kb/s,127 kb/s,132 kb/s,141 kb/s,110 kb/s,143 kb/s,130 kb/s,130 kb/s,,,,,,,,,,,,
2025-11-28 20:53:00,205 kb/s,179 kb/s,169 kb/s,180 kb/s,161 kb/s,177 kb/s,166 kb/s,194 kb/s,146 kb/s,174 kb/s,162 kb/s,177 kb/s,,,,,,,,,,,,
2025-11-28 20:53:15,261 kb/s,212 kb/s,220 kb/s,208 kb/s,202 kb/s,205 kb/s,202 kb/s,224 kb/s,179 kb/s,221 kb/s,188 kb/s,215 kb/s,,,,,,,,,,,,
2025-11-28 20:53:30,292 kb/s,242 kb/s,245 kb/s,238 kb/s,238 kb/s,237 kb/s,239 kb/s,248 kb/s,211 kb/s,250 kb/s,227 kb/s,245 kb/s,,,,,,,,,,,,
2025-11-28 20:53:45,331 kb/s,288 kb/s,276 kb/s,283 kb/s,268 kb/s,264 kb/s,265 kb/s,284 kb/s,239 kb/s,284 kb/s,265 kb/s,281 kb/s,,,,,,,,,,,,
2025-11-28 20:54:00,370 kb/s,326 kb/s,304 kb/s,311 kb/s,304 kb/s,309 kb/s,297 kb/s,334 kb/s,268 kb/s,310 kb/s,301 kb/s,330 kb/s,,,,,,,,,,,,
2025-11-28 20:54:15,419 kb/s,361 kb/s,351 kb/s,339 kb/s,355 kb/s,341 kb/s,332 kb/s,358 kb/s,301 kb/s,356 kb/s,330 kb/s,360 kb/s,,,,,,,,,,,,
2025-11-28 20:54:30,459 kb/s,397 kb/s,381 kb/s,367 kb/s,387 kb/s,377 kb/s,371 kb/s,383 kb/s,335 kb/s,384 kb/s,364 kb/s,392 kb/s,,,,,,,,,,,,
2025-11-28 20:54:45,495 kb/s,435 kb/s,409 kb/s,406 kb/s,415 kb/s,406 kb/s,401 kb/s,417 kb/s,360 kb/s,421 kb/s,402 kb/s,422 kb/s,,,,,,,,,,,,
2025-11-28 20:55:00,532 kb/s,458 kb/s,436 kb/s,435 kb/s,451 kb/s,459 kb/s,437 kb/s,471 kb/s,390 kb/s,450 kb/s,442 kb/s,459 kb/s,,,,,,,,,,,,
2025-11-28 20:55:15,571 kb/s,488 kb/s,483 kb/s,461 kb/s,498 kb/s,489 kb/s,474 kb/s,500 kb/s,422 kb/s,501 kb/s,468 kb/s,492 kb/s,,,,,,,,,,,,
2025-11-28 20:55:30,609 kb/s,525 kb/s,516 kb/s,494 kb/s,531 kb/s,522 kb/s,515 kb/s,529 kb/s,454 kb/s,526 kb/s,494 kb/s,516 kb/s,,,,,,,,,,,,
2025-11-28 20:55:45,646 kb/s,561 kb/s,553 kb/s,541 kb/s,560 kb/s,552 kb/s,548 kb/s,563 kb/s,479 kb/s,559 kb/s,530 kb/s,549 kb/s,,,,,,,,,,,,
