"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-geth:5054"", job=""cl-09-lighthouse-geth"", service=""cl-09-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-geth:5054"", job=""cl-10-lighthouse-geth"", service=""cl-10-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-geth:5054"", job=""cl-12-lighthouse-geth"", service=""cl-12-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-geth:5054"", job=""cl-08-lighthouse-geth"", service=""cl-08-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-geth:5054"", job=""cl-11-lighthouse-geth"", service=""cl-11-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""True""}"
2025-11-28 20:51:15,,,10.3 kb/s,,,,11.6 kb/s,,,,,,,,,,,,,,,,,
2025-11-28 20:51:30,17.2 kb/s,14.0 kb/s,17.1 kb/s,13.9 kb/s,16.8 kb/s,14.6 kb/s,18.5 kb/s,14.8 kb/s,17.0 kb/s,15.5 kb/s,14.0 kb/s,15.4 kb/s,,,,,,,,,,,,
2025-11-28 20:51:45,24.4 kb/s,24.4 kb/s,28.3 kb/s,24.2 kb/s,23.7 kb/s,25.0 kb/s,27.1 kb/s,25.6 kb/s,23.8 kb/s,27.1 kb/s,24.5 kb/s,26.7 kb/s,,,,,,,,,,,,
2025-11-28 20:52:00,36.7 kb/s,67.3 kb/s,57.4 kb/s,63.1 kb/s,35.5 kb/s,61.5 kb/s,69.2 kb/s,56.3 kb/s,36.0 kb/s,34.0 kb/s,65.5 kb/s,52.1 kb/s,,,,,,,,,,,,
2025-11-28 20:52:15,105 kb/s,105 kb/s,105 kb/s,104 kb/s,95.1 kb/s,103 kb/s,117 kb/s,96.8 kb/s,79.3 kb/s,96.5 kb/s,109 kb/s,87.5 kb/s,,,,,,,,,,,,
2025-11-28 20:52:30,150 kb/s,147 kb/s,138 kb/s,143 kb/s,133 kb/s,145 kb/s,160 kb/s,136 kb/s,111 kb/s,134 kb/s,156 kb/s,119 kb/s,,,,,,,,,,,,
2025-11-28 20:52:45,193 kb/s,212 kb/s,176 kb/s,195 kb/s,166 kb/s,181 kb/s,202 kb/s,169 kb/s,140 kb/s,179 kb/s,209 kb/s,161 kb/s,,,,,,,,,,,,
2025-11-28 20:53:00,236 kb/s,255 kb/s,212 kb/s,234 kb/s,209 kb/s,238 kb/s,246 kb/s,217 kb/s,169 kb/s,221 kb/s,259 kb/s,205 kb/s,,,,,,,,,,,,
2025-11-28 20:53:15,298 kb/s,291 kb/s,266 kb/s,272 kb/s,262 kb/s,277 kb/s,285 kb/s,255 kb/s,207 kb/s,282 kb/s,301 kb/s,237 kb/s,,,,,,,,,,,,
2025-11-28 20:53:30,356 kb/s,341 kb/s,304 kb/s,316 kb/s,297 kb/s,325 kb/s,329 kb/s,292 kb/s,240 kb/s,322 kb/s,333 kb/s,272 kb/s,,,,,,,,,,,,
2025-11-28 20:53:45,397 kb/s,397 kb/s,346 kb/s,376 kb/s,333 kb/s,363 kb/s,368 kb/s,330 kb/s,267 kb/s,368 kb/s,374 kb/s,310 kb/s,,,,,,,,,,,,
2025-11-28 20:54:00,450 kb/s,430 kb/s,382 kb/s,416 kb/s,381 kb/s,421 kb/s,409 kb/s,384 kb/s,303 kb/s,406 kb/s,422 kb/s,358 kb/s,,,,,,,,,,,,
2025-11-28 20:54:15,517 kb/s,464 kb/s,439 kb/s,452 kb/s,430 kb/s,457 kb/s,457 kb/s,428 kb/s,336 kb/s,462 kb/s,461 kb/s,396 kb/s,,,,,,,,,,,,
2025-11-28 20:54:30,567 kb/s,511 kb/s,474 kb/s,498 kb/s,466 kb/s,504 kb/s,506 kb/s,463 kb/s,371 kb/s,502 kb/s,505 kb/s,429 kb/s,,,,,,,,,,,,
2025-11-28 20:54:45,610 kb/s,571 kb/s,516 kb/s,554 kb/s,505 kb/s,539 kb/s,542 kb/s,507 kb/s,398 kb/s,542 kb/s,552 kb/s,470 kb/s,,,,,,,,,,,,
2025-11-28 20:55:00,655 kb/s,619 kb/s,550 kb/s,590 kb/s,548 kb/s,590 kb/s,584 kb/s,551 kb/s,429 kb/s,576 kb/s,595 kb/s,525 kb/s,,,,,,,,,,,,
2025-11-28 20:55:15,727 kb/s,654 kb/s,603 kb/s,629 kb/s,606 kb/s,633 kb/s,630 kb/s,591 kb/s,470 kb/s,632 kb/s,632 kb/s,559 kb/s,,,,,,,,,,,,
2025-11-28 20:55:30,775 kb/s,696 kb/s,636 kb/s,670 kb/s,646 kb/s,676 kb/s,677 kb/s,627 kb/s,503 kb/s,675 kb/s,684 kb/s,590 kb/s,,,,,,,,,,,,
2025-11-28 20:55:45,815 kb/s,763 kb/s,676 kb/s,716 kb/s,686 kb/s,716 kb/s,717 kb/s,672 kb/s,532 kb/s,719 kb/s,734 kb/s,630 kb/s,,,,,,,,,,,,
2025-11-28 20:56:00,860 kb/s,802 kb/s,712 kb/s,752 kb/s,720 kb/s,773 kb/s,766 kb/s,719 kb/s,562 kb/s,756 kb/s,781 kb/s,671 kb/s,,,,,,,,,,,,
2025-11-28 20:56:15,912 kb/s,840 kb/s,767 kb/s,788 kb/s,779 kb/s,811 kb/s,816 kb/s,754 kb/s,587 kb/s,807 kb/s,823 kb/s,700 kb/s,,,,,,,,,,,,
