"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}"
2025-11-28 21:13:30,,,2.13 kb/s,1.64 kb/s,1.13 kb/s,,,,,,,1.62 kb/s,,,,,,,,,,,,
2025-11-28 21:13:45,1.56 kb/s,1.51 kb/s,3.61 kb/s,3.13 kb/s,3.09 kb/s,1.37 kb/s,3.15 kb/s,1.50 kb/s,3.29 kb/s,2.98 kb/s,1.15 kb/s,3.26 kb/s,,,,,,,,,,,,
2025-11-28 21:14:00,3.96 kb/s,4.09 kb/s,33.9 kb/s,26.3 kb/s,28.0 kb/s,3.84 kb/s,35.8 kb/s,4.03 kb/s,26.1 kb/s,6.57 kb/s,3.71 kb/s,31.9 kb/s,,,,,,,,,,,,
2025-11-28 21:14:15,56.2 kb/s,50.4 kb/s,56.5 kb/s,48.6 kb/s,55.3 kb/s,50.9 kb/s,63.4 kb/s,53.7 kb/s,55.6 kb/s,53.4 kb/s,45.0 kb/s,62.4 kb/s,,,,,,,,,,,,
2025-11-28 21:14:30,95.7 kb/s,104 kb/s,90.5 kb/s,79.0 kb/s,85.0 kb/s,93.3 kb/s,90.4 kb/s,105 kb/s,84.4 kb/s,78.9 kb/s,107 kb/s,93.3 kb/s,,,,,,,,,,,,
2025-11-28 21:14:45,143 kb/s,134 kb/s,121 kb/s,129 kb/s,129 kb/s,122 kb/s,118 kb/s,134 kb/s,117 kb/s,111 kb/s,144 kb/s,130 kb/s,,,,,,,,,,,,
2025-11-28 21:15:00,188 kb/s,161 kb/s,164 kb/s,158 kb/s,157 kb/s,150 kb/s,158 kb/s,160 kb/s,158 kb/s,138 kb/s,169 kb/s,159 kb/s,,,,,,,,,,,,
2025-11-28 21:15:15,228 kb/s,202 kb/s,194 kb/s,184 kb/s,181 kb/s,188 kb/s,191 kb/s,191 kb/s,194 kb/s,178 kb/s,203 kb/s,187 kb/s,,,,,,,,,,,,
2025-11-28 21:15:30,255 kb/s,241 kb/s,233 kb/s,218 kb/s,216 kb/s,236 kb/s,223 kb/s,240 kb/s,219 kb/s,209 kb/s,262 kb/s,218 kb/s,,,,,,,,,,,,
2025-11-28 21:15:45,318 kb/s,274 kb/s,263 kb/s,259 kb/s,258 kb/s,262 kb/s,254 kb/s,269 kb/s,258 kb/s,242 kb/s,295 kb/s,262 kb/s,,,,,,,,,,,,
2025-11-28 21:16:00,354 kb/s,305 kb/s,308 kb/s,287 kb/s,290 kb/s,284 kb/s,293 kb/s,293 kb/s,308 kb/s,271 kb/s,322 kb/s,289 kb/s,,,,,,,,,,,,
2025-11-28 21:16:15,390 kb/s,347 kb/s,334 kb/s,311 kb/s,318 kb/s,319 kb/s,321 kb/s,332 kb/s,338 kb/s,318 kb/s,351 kb/s,318 kb/s,,,,,,,,,,,,
2025-11-28 21:16:30,424 kb/s,390 kb/s,376 kb/s,344 kb/s,350 kb/s,369 kb/s,352 kb/s,382 kb/s,362 kb/s,351 kb/s,405 kb/s,345 kb/s,,,,,,,,,,,,
2025-11-28 21:16:45,486 kb/s,416 kb/s,404 kb/s,388 kb/s,389 kb/s,393 kb/s,385 kb/s,410 kb/s,399 kb/s,386 kb/s,437 kb/s,387 kb/s,,,,,,,,,,,,
2025-11-28 21:17:00,523 kb/s,441 kb/s,456 kb/s,418 kb/s,419 kb/s,422 kb/s,431 kb/s,437 kb/s,449 kb/s,415 kb/s,464 kb/s,413 kb/s,,,,,,,,,,,,
2025-11-28 21:17:15,560 kb/s,481 kb/s,482 kb/s,445 kb/s,450 kb/s,460 kb/s,458 kb/s,463 kb/s,476 kb/s,461 kb/s,499 kb/s,442 kb/s,,,,,,,,,,,,
2025-11-28 21:17:30,589 kb/s,530 kb/s,516 kb/s,480 kb/s,489 kb/s,520 kb/s,487 kb/s,511 kb/s,504 kb/s,488 kb/s,552 kb/s,475 kb/s,,,,,,,,,,,,
2025-11-28 21:17:45,643 kb/s,553 kb/s,545 kb/s,525 kb/s,537 kb/s,554 kb/s,515 kb/s,539 kb/s,538 kb/s,523 kb/s,585 kb/s,521 kb/s,,,,,,,,,,,,
2025-11-28 21:18:00,676 kb/s,587 kb/s,592 kb/s,556 kb/s,567 kb/s,585 kb/s,557 kb/s,562 kb/s,580 kb/s,558 kb/s,613 kb/s,553 kb/s,,,,,,,,,,,,
2025-11-28 21:18:15,710 kb/s,621 kb/s,619 kb/s,586 kb/s,596 kb/s,625 kb/s,586 kb/s,591 kb/s,609 kb/s,596 kb/s,648 kb/s,586 kb/s,,,,,,,,,,,,
2025-11-28 21:18:30,744 kb/s,665 kb/s,649 kb/s,619 kb/s,632 kb/s,682 kb/s,614 kb/s,639 kb/s,637 kb/s,626 kb/s,698 kb/s,618 kb/s,,,,,,,,,,,,
2025-11-28 21:18:45,802 kb/s,700 kb/s,662 kb/s,666 kb/s,677 kb/s,708 kb/s,634 kb/s,664 kb/s,669 kb/s,656 kb/s,726 kb/s,651 kb/s,,,,,,,,,,,,
2025-11-28 21:19:00,802 kb/s,700 kb/s,693 kb/s,678 kb/s,682 kb/s,698 kb/s,650 kb/s,659 kb/s,692 kb/s,648 kb/s,730 kb/s,652 kb/s,,,,,,,,,,,,
2025-11-28 21:19:15,794 kb/s,688 kb/s,696 kb/s,675 kb/s,680 kb/s,698 kb/s,652 kb/s,650 kb/s,696 kb/s,667 kb/s,714 kb/s,652 kb/s,,,,,,,,,,,,
2025-11-28 21:19:30,778 kb/s,718 kb/s,705 kb/s,658 kb/s,669 kb/s,724 kb/s,651 kb/s,669 kb/s,688 kb/s,665 kb/s,718 kb/s,644 kb/s,,,,,,,,,,,,
2025-11-28 21:19:45,787 kb/s,722 kb/s,689 kb/s,670 kb/s,689 kb/s,732 kb/s,642 kb/s,671 kb/s,684 kb/s,674 kb/s,717 kb/s,661 kb/s,,,,,,,,,,,,
2025-11-28 21:20:00,786 kb/s,710 kb/s,708 kb/s,671 kb/s,694 kb/s,729 kb/s,654 kb/s,671 kb/s,704 kb/s,666 kb/s,709 kb/s,669 kb/s,,,,,,,,,,,,
2025-11-28 21:20:15,803 kb/s,728 kb/s,705 kb/s,684 kb/s,697 kb/s,717 kb/s,956 kb/s,663 kb/s,717 kb/s,684 kb/s,695 kb/s,677 kb/s,,,,,,,,,,,,
2025-11-28 21:20:30,1.09 Mb/s,743 kb/s,727 kb/s,1.00 Mb/s,705 kb/s,756 kb/s,962 kb/s,687 kb/s,714 kb/s,683 kb/s,711 kb/s,679 kb/s,,,,,,,,,,,,
2025-11-28 21:20:45,1.11 Mb/s,759 kb/s,1.03 Mb/s,1.04 Mb/s,728 kb/s,765 kb/s,998 kb/s,708 kb/s,732 kb/s,690 kb/s,719 kb/s,695 kb/s,,,,,,,,,,,,
2025-11-28 21:21:00,1.12 Mb/s,776 kb/s,1.08 Mb/s,1.06 Mb/s,732 kb/s,762 kb/s,1.34 Mb/s,706 kb/s,753 kb/s,690 kb/s,729 kb/s,700 kb/s,,,,,,,,,,,,
2025-11-28 21:21:15,1.14 Mb/s,795 kb/s,1.08 Mb/s,1.06 Mb/s,1.05 Mb/s,760 kb/s,1.34 Mb/s,704 kb/s,768 kb/s,704 kb/s,726 kb/s,712 kb/s,,,,,,,,,,,,
2025-11-28 21:21:30,1.11 Mb/s,823 kb/s,1.10 Mb/s,1.06 Mb/s,1.06 Mb/s,802 kb/s,1.34 Mb/s,727 kb/s,763 kb/s,704 kb/s,1.05 Mb/s,715 kb/s,,,,,,,,,,,,
2025-11-28 21:21:45,1.46 Mb/s,833 kb/s,1.08 Mb/s,1.07 Mb/s,1.08 Mb/s,814 kb/s,1.33 Mb/s,736 kb/s,753 kb/s,713 kb/s,1.06 Mb/s,741 kb/s,,,,,,,,,,,,
2025-11-28 21:22:00,1.45 Mb/s,829 kb/s,1.11 Mb/s,1.08 Mb/s,1.09 Mb/s,807 kb/s,1.36 Mb/s,771 kb/s,1.09 Mb/s,704 kb/s,1.38 Mb/s,747 kb/s,,,,,,,,,,,,
2025-11-28 21:22:15,1.47 Mb/s,839 kb/s,1.12 Mb/s,1.39 Mb/s,1.09 Mb/s,797 kb/s,1.38 Mb/s,773 kb/s,1.10 Mb/s,730 kb/s,1.37 Mb/s,748 kb/s,,,,,,,,,,,,
