"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}"
2025-11-28 21:13:30,,,13.4 kb/s,12.3 kb/s,12.0 kb/s,,,,,,,11.6 kb/s,,,,,,,,,,,,
2025-11-28 21:13:45,16.6 kb/s,16.1 kb/s,23.0 kb/s,21.4 kb/s,21.1 kb/s,15.7 kb/s,17.2 kb/s,15.9 kb/s,17.8 kb/s,19.4 kb/s,16.2 kb/s,20.7 kb/s,,,,,,,,,,,,
2025-11-28 21:14:00,25.8 kb/s,25.3 kb/s,57.2 kb/s,56.2 kb/s,48.8 kb/s,24.9 kb/s,52.6 kb/s,25.2 kb/s,50.5 kb/s,25.9 kb/s,25.4 kb/s,53.7 kb/s,,,,,,,,,,,,
2025-11-28 21:14:15,71.0 kb/s,73.7 kb/s,96.9 kb/s,88.3 kb/s,81.2 kb/s,72.9 kb/s,85.5 kb/s,68.1 kb/s,88.6 kb/s,71.2 kb/s,70.5 kb/s,79.0 kb/s,,,,,,,,,,,,
2025-11-28 21:14:30,106 kb/s,122 kb/s,137 kb/s,128 kb/s,120 kb/s,139 kb/s,124 kb/s,121 kb/s,123 kb/s,100 kb/s,124 kb/s,104 kb/s,,,,,,,,,,,,
2025-11-28 21:14:45,188 kb/s,161 kb/s,167 kb/s,166 kb/s,170 kb/s,179 kb/s,159 kb/s,158 kb/s,164 kb/s,130 kb/s,158 kb/s,147 kb/s,,,,,,,,,,,,
2025-11-28 21:15:00,222 kb/s,198 kb/s,221 kb/s,199 kb/s,207 kb/s,220 kb/s,213 kb/s,198 kb/s,224 kb/s,157 kb/s,205 kb/s,176 kb/s,,,,,,,,,,,,
2025-11-28 21:15:15,270 kb/s,238 kb/s,261 kb/s,233 kb/s,246 kb/s,266 kb/s,245 kb/s,243 kb/s,263 kb/s,197 kb/s,253 kb/s,212 kb/s,,,,,,,,,,,,
2025-11-28 21:15:30,318 kb/s,307 kb/s,299 kb/s,275 kb/s,286 kb/s,329 kb/s,284 kb/s,300 kb/s,303 kb/s,228 kb/s,311 kb/s,242 kb/s,,,,,,,,,,,,
2025-11-28 21:15:45,389 kb/s,345 kb/s,334 kb/s,325 kb/s,343 kb/s,372 kb/s,325 kb/s,338 kb/s,348 kb/s,265 kb/s,349 kb/s,285 kb/s,,,,,,,,,,,,
2025-11-28 21:16:00,428 kb/s,381 kb/s,393 kb/s,364 kb/s,381 kb/s,413 kb/s,380 kb/s,376 kb/s,399 kb/s,293 kb/s,392 kb/s,319 kb/s,,,,,,,,,,,,
2025-11-28 21:16:15,484 kb/s,423 kb/s,435 kb/s,398 kb/s,417 kb/s,457 kb/s,420 kb/s,415 kb/s,436 kb/s,336 kb/s,444 kb/s,354 kb/s,,,,,,,,,,,,
2025-11-28 21:16:30,525 kb/s,488 kb/s,470 kb/s,443 kb/s,465 kb/s,518 kb/s,462 kb/s,472 kb/s,477 kb/s,366 kb/s,494 kb/s,385 kb/s,,,,,,,,,,,,
2025-11-28 21:16:45,587 kb/s,531 kb/s,506 kb/s,498 kb/s,526 kb/s,560 kb/s,495 kb/s,515 kb/s,523 kb/s,401 kb/s,531 kb/s,431 kb/s,,,,,,,,,,,,
2025-11-28 21:17:00,625 kb/s,573 kb/s,558 kb/s,535 kb/s,566 kb/s,599 kb/s,547 kb/s,556 kb/s,583 kb/s,429 kb/s,575 kb/s,466 kb/s,,,,,,,,,,,,
2025-11-28 21:17:15,675 kb/s,614 kb/s,595 kb/s,571 kb/s,601 kb/s,638 kb/s,586 kb/s,603 kb/s,626 kb/s,476 kb/s,623 kb/s,503 kb/s,,,,,,,,,,,,
2025-11-28 21:17:30,719 kb/s,672 kb/s,639 kb/s,614 kb/s,639 kb/s,685 kb/s,630 kb/s,661 kb/s,667 kb/s,508 kb/s,686 kb/s,535 kb/s,,,,,,,,,,,,
2025-11-28 21:17:45,791 kb/s,721 kb/s,674 kb/s,665 kb/s,696 kb/s,725 kb/s,671 kb/s,701 kb/s,712 kb/s,542 kb/s,726 kb/s,578 kb/s,,,,,,,,,,,,
2025-11-28 21:18:00,843 kb/s,758 kb/s,733 kb/s,701 kb/s,742 kb/s,764 kb/s,729 kb/s,744 kb/s,775 kb/s,568 kb/s,768 kb/s,614 kb/s,,,,,,,,,,,,
2025-11-28 21:18:15,887 kb/s,798 kb/s,775 kb/s,734 kb/s,784 kb/s,805 kb/s,767 kb/s,786 kb/s,817 kb/s,623 kb/s,809 kb/s,650 kb/s,,,,,,,,,,,,
