"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}"
2025-11-28 22:16:30,,,,,,,1.15 kb/s,,,,,,,,,,,,,,,,,
2025-11-28 22:16:45,1.66 kb/s,3.22 kb/s,1.42 kb/s,1.52 kb/s,1.45 kb/s,1.77 kb/s,2.98 kb/s,2.36 kb/s,1.16 kb/s,2.68 kb/s,1.52 kb/s,1.02 kb/s,,,,,,,,,,,,
2025-11-28 22:17:00,6.40 kb/s,6.42 kb/s,6.63 kb/s,3.57 kb/s,3.73 kb/s,4.03 kb/s,29.3 kb/s,26.6 kb/s,6.60 kb/s,35.3 kb/s,6.50 kb/s,6.33 kb/s,,,,,,,,,,,,
2025-11-28 22:17:15,68.1 kb/s,62.0 kb/s,46.2 kb/s,38.9 kb/s,38.3 kb/s,50.4 kb/s,57.9 kb/s,49.6 kb/s,40.8 kb/s,60.8 kb/s,53.5 kb/s,41.7 kb/s,,,,,,,,,,,,
2025-11-28 22:17:30,96.9 kb/s,92.0 kb/s,89.7 kb/s,80.9 kb/s,80.9 kb/s,83.3 kb/s,86.0 kb/s,80.3 kb/s,87.4 kb/s,91.7 kb/s,84.4 kb/s,82.5 kb/s,,,,,,,,,,,,
2025-11-28 22:17:45,127 kb/s,125 kb/s,113 kb/s,111 kb/s,106 kb/s,109 kb/s,135 kb/s,104 kb/s,117 kb/s,118 kb/s,106 kb/s,111 kb/s,,,,,,,,,,,,
2025-11-28 22:18:00,168 kb/s,154 kb/s,145 kb/s,132 kb/s,133 kb/s,154 kb/s,170 kb/s,150 kb/s,150 kb/s,166 kb/s,139 kb/s,141 kb/s,,,,,,,,,,,,
2025-11-28 22:18:15,224 kb/s,195 kb/s,173 kb/s,161 kb/s,162 kb/s,181 kb/s,201 kb/s,179 kb/s,177 kb/s,195 kb/s,182 kb/s,166 kb/s,,,,,,,,,,,,
2025-11-28 22:18:30,257 kb/s,226 kb/s,218 kb/s,205 kb/s,207 kb/s,213 kb/s,234 kb/s,214 kb/s,222 kb/s,226 kb/s,215 kb/s,213 kb/s,,,,,,,,,,,,
2025-11-28 22:18:45,291 kb/s,260 kb/s,246 kb/s,233 kb/s,241 kb/s,242 kb/s,277 kb/s,241 kb/s,249 kb/s,251 kb/s,244 kb/s,243 kb/s,,,,,,,,,,,,
2025-11-28 22:19:00,332 kb/s,289 kb/s,283 kb/s,263 kb/s,267 kb/s,285 kb/s,311 kb/s,285 kb/s,282 kb/s,296 kb/s,276 kb/s,279 kb/s,,,,,,,,,,,,
2025-11-28 22:19:15,390 kb/s,329 kb/s,306 kb/s,298 kb/s,298 kb/s,314 kb/s,343 kb/s,312 kb/s,306 kb/s,323 kb/s,322 kb/s,307 kb/s,,,,,,,,,,,,
2025-11-28 22:19:30,424 kb/s,357 kb/s,354 kb/s,338 kb/s,339 kb/s,346 kb/s,379 kb/s,339 kb/s,350 kb/s,356 kb/s,350 kb/s,357 kb/s,,,,,,,,,,,,
2025-11-28 22:19:45,457 kb/s,386 kb/s,381 kb/s,366 kb/s,366 kb/s,370 kb/s,424 kb/s,368 kb/s,375 kb/s,382 kb/s,374 kb/s,383 kb/s,,,,,,,,,,,,
2025-11-28 22:20:00,492 kb/s,413 kb/s,415 kb/s,395 kb/s,392 kb/s,413 kb/s,456 kb/s,414 kb/s,414 kb/s,434 kb/s,409 kb/s,418 kb/s,,,,,,,,,,,,
2025-11-28 22:20:15,544 kb/s,463 kb/s,438 kb/s,420 kb/s,425 kb/s,444 kb/s,482 kb/s,443 kb/s,439 kb/s,463 kb/s,454 kb/s,444 kb/s,,,,,,,,,,,,
2025-11-28 22:20:30,581 kb/s,492 kb/s,490 kb/s,463 kb/s,467 kb/s,474 kb/s,519 kb/s,480 kb/s,485 kb/s,491 kb/s,482 kb/s,491 kb/s,,,,,,,,,,,,
2025-11-28 22:20:45,622 kb/s,520 kb/s,523 kb/s,493 kb/s,492 kb/s,500 kb/s,563 kb/s,506 kb/s,514 kb/s,528 kb/s,504 kb/s,517 kb/s,,,,,,,,,,,,
2025-11-28 22:21:00,659 kb/s,547 kb/s,557 kb/s,522 kb/s,529 kb/s,541 kb/s,597 kb/s,548 kb/s,549 kb/s,577 kb/s,538 kb/s,548 kb/s,,,,,,,,,,,,
2025-11-28 22:21:15,716 kb/s,597 kb/s,584 kb/s,560 kb/s,562 kb/s,564 kb/s,623 kb/s,575 kb/s,577 kb/s,609 kb/s,579 kb/s,576 kb/s,,,,,,,,,,,,
