"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}"
2025-11-28 22:16:30,,,,,,,10.8 kb/s,,,,,,,,,,,,,,,,,
2025-11-28 22:16:45,13.1 kb/s,17.3 kb/s,13.9 kb/s,14.1 kb/s,14.4 kb/s,16.7 kb/s,20.0 kb/s,14.3 kb/s,13.9 kb/s,14.8 kb/s,13.1 kb/s,13.6 kb/s,,,,,,,,,,,,
2025-11-28 22:17:00,25.2 kb/s,24.2 kb/s,26.2 kb/s,23.0 kb/s,23.1 kb/s,26.3 kb/s,54.5 kb/s,38.0 kb/s,26.3 kb/s,53.9 kb/s,24.6 kb/s,25.9 kb/s,,,,,,,,,,,,
2025-11-28 22:17:15,99.2 kb/s,77.4 kb/s,66.7 kb/s,63.5 kb/s,55.0 kb/s,62.6 kb/s,83.9 kb/s,64.3 kb/s,57.0 kb/s,89.0 kb/s,85.0 kb/s,68.7 kb/s,,,,,,,,,,,,
2025-11-28 22:17:30,141 kb/s,109 kb/s,121 kb/s,112 kb/s,88.3 kb/s,111 kb/s,127 kb/s,88.6 kb/s,98.9 kb/s,129 kb/s,114 kb/s,126 kb/s,,,,,,,,,,,,
2025-11-28 22:17:45,181 kb/s,143 kb/s,159 kb/s,148 kb/s,122 kb/s,144 kb/s,176 kb/s,117 kb/s,131 kb/s,165 kb/s,148 kb/s,158 kb/s,,,,,,,,,,,,
2025-11-28 22:18:00,228 kb/s,170 kb/s,198 kb/s,185 kb/s,155 kb/s,189 kb/s,213 kb/s,162 kb/s,169 kb/s,221 kb/s,183 kb/s,199 kb/s,,,,,,,,,,,,
2025-11-28 22:18:15,291 kb/s,228 kb/s,233 kb/s,227 kb/s,195 kb/s,225 kb/s,248 kb/s,193 kb/s,203 kb/s,261 kb/s,228 kb/s,237 kb/s,,,,,,,,,,,,
2025-11-28 22:18:30,337 kb/s,264 kb/s,285 kb/s,281 kb/s,239 kb/s,271 kb/s,295 kb/s,225 kb/s,270 kb/s,305 kb/s,263 kb/s,293 kb/s,,,,,,,,,,,,
2025-11-28 22:18:45,381 kb/s,312 kb/s,321 kb/s,320 kb/s,269 kb/s,304 kb/s,354 kb/s,254 kb/s,307 kb/s,343 kb/s,297 kb/s,329 kb/s,,,,,,,,,,,,
2025-11-28 22:19:00,430 kb/s,349 kb/s,360 kb/s,354 kb/s,306 kb/s,357 kb/s,395 kb/s,302 kb/s,351 kb/s,396 kb/s,342 kb/s,369 kb/s,,,,,,,,,,,,
2025-11-28 22:19:15,499 kb/s,405 kb/s,400 kb/s,390 kb/s,341 kb/s,392 kb/s,429 kb/s,335 kb/s,390 kb/s,432 kb/s,394 kb/s,409 kb/s,,,,,,,,,,,,
2025-11-28 22:19:30,533 kb/s,442 kb/s,452 kb/s,448 kb/s,391 kb/s,431 kb/s,469 kb/s,373 kb/s,446 kb/s,479 kb/s,435 kb/s,462 kb/s,,,,,,,,,,,,
2025-11-28 22:19:45,568 kb/s,487 kb/s,491 kb/s,484 kb/s,428 kb/s,465 kb/s,524 kb/s,403 kb/s,485 kb/s,519 kb/s,473 kb/s,502 kb/s,,,,,,,,,,,,
2025-11-28 22:20:00,616 kb/s,523 kb/s,534 kb/s,517 kb/s,469 kb/s,519 kb/s,559 kb/s,450 kb/s,525 kb/s,569 kb/s,515 kb/s,543 kb/s,,,,,,,,,,,,
2025-11-28 22:20:15,670 kb/s,575 kb/s,573 kb/s,561 kb/s,506 kb/s,553 kb/s,602 kb/s,480 kb/s,564 kb/s,609 kb/s,567 kb/s,577 kb/s,,,,,,,,,,,,
2025-11-28 22:20:30,713 kb/s,616 kb/s,624 kb/s,616 kb/s,558 kb/s,595 kb/s,644 kb/s,514 kb/s,618 kb/s,662 kb/s,612 kb/s,635 kb/s,,,,,,,,,,,,
2025-11-28 22:20:45,750 kb/s,665 kb/s,658 kb/s,655 kb/s,597 kb/s,632 kb/s,706 kb/s,547 kb/s,652 kb/s,694 kb/s,656 kb/s,673 kb/s,,,,,,,,,,,,
2025-11-28 22:21:00,807 kb/s,709 kb/s,701 kb/s,696 kb/s,627 kb/s,689 kb/s,741 kb/s,601 kb/s,692 kb/s,759 kb/s,697 kb/s,717 kb/s,,,,,,,,,,,,
2025-11-28 22:21:15,870 kb/s,767 kb/s,746 kb/s,735 kb/s,663 kb/s,723 kb/s,785 kb/s,636 kb/s,729 kb/s,802 kb/s,755 kb/s,752 kb/s,,,,,,,,,,,,
2025-11-28 22:21:30,919 kb/s,811 kb/s,793 kb/s,788 kb/s,709 kb/s,764 kb/s,829 kb/s,674 kb/s,782 kb/s,847 kb/s,792 kb/s,809 kb/s,,,,,,,,,,,,
2025-11-28 22:21:45,965 kb/s,854 kb/s,827 kb/s,823 kb/s,734 kb/s,797 kb/s,876 kb/s,706 kb/s,816 kb/s,875 kb/s,826 kb/s,844 kb/s,,,,,,,,,,,,
2025-11-28 22:22:00,954 kb/s,853 kb/s,838 kb/s,834 kb/s,745 kb/s,824 kb/s,895 kb/s,734 kb/s,832 kb/s,898 kb/s,819 kb/s,860 kb/s,,,,,,,,,,,,
