"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}"
2025-11-28 22:36:00,,,,,,1.09 kb/s,,741 b/s,,,1.20 kb/s,,,,,,,,,,,,,
2025-11-28 22:36:15,3.36 kb/s,2.71 kb/s,1.39 kb/s,1.10 kb/s,1.23 kb/s,3.23 kb/s,1.51 kb/s,2.90 kb/s,947 b/s,1.52 kb/s,3.24 kb/s,1.37 kb/s,,,,,,,,,,,,
2025-11-28 22:36:30,37.1 kb/s,31.5 kb/s,7.22 kb/s,3.75 kb/s,3.91 kb/s,30.3 kb/s,4.18 kb/s,34.8 kb/s,6.72 kb/s,4.04 kb/s,31.0 kb/s,7.10 kb/s,,,,,,,,,,,,
2025-11-28 22:36:45,72.2 kb/s,57.6 kb/s,47.4 kb/s,45.2 kb/s,51.1 kb/s,65.5 kb/s,52.6 kb/s,73.2 kb/s,53.4 kb/s,50.7 kb/s,58.2 kb/s,52.0 kb/s,,,,,,,,,,,,
2025-11-28 22:37:00,102 kb/s,84.7 kb/s,93.5 kb/s,89.3 kb/s,83.9 kb/s,88.3 kb/s,80.1 kb/s,121 kb/s,83.0 kb/s,92.1 kb/s,91.2 kb/s,84.2 kb/s,,,,,,,,,,,,
2025-11-28 22:37:15,137 kb/s,114 kb/s,121 kb/s,120 kb/s,132 kb/s,131 kb/s,127 kb/s,152 kb/s,108 kb/s,121 kb/s,114 kb/s,112 kb/s,,,,,,,,,,,,
2025-11-28 22:37:30,196 kb/s,155 kb/s,157 kb/s,145 kb/s,163 kb/s,158 kb/s,160 kb/s,175 kb/s,136 kb/s,150 kb/s,156 kb/s,145 kb/s,,,,,,,,,,,,
2025-11-28 22:37:45,227 kb/s,181 kb/s,185 kb/s,180 kb/s,195 kb/s,188 kb/s,200 kb/s,210 kb/s,183 kb/s,187 kb/s,188 kb/s,178 kb/s,,,,,,,,,,,,
2025-11-28 22:38:00,259 kb/s,209 kb/s,230 kb/s,223 kb/s,226 kb/s,213 kb/s,223 kb/s,258 kb/s,217 kb/s,230 kb/s,224 kb/s,213 kb/s,,,,,,,,,,,,
2025-11-28 22:38:15,289 kb/s,241 kb/s,260 kb/s,251 kb/s,270 kb/s,256 kb/s,280 kb/s,290 kb/s,242 kb/s,262 kb/s,252 kb/s,239 kb/s,,,,,,,,,,,,
2025-11-28 22:38:30,340 kb/s,285 kb/s,295 kb/s,274 kb/s,300 kb/s,284 kb/s,315 kb/s,317 kb/s,273 kb/s,297 kb/s,291 kb/s,268 kb/s,,,,,,,,,,,,
2025-11-28 22:38:45,377 kb/s,317 kb/s,324 kb/s,305 kb/s,331 kb/s,317 kb/s,349 kb/s,352 kb/s,321 kb/s,332 kb/s,315 kb/s,304 kb/s,,,,,,,,,,,,
2025-11-28 22:39:00,407 kb/s,342 kb/s,382 kb/s,350 kb/s,356 kb/s,342 kb/s,374 kb/s,402 kb/s,350 kb/s,377 kb/s,344 kb/s,338 kb/s,,,,,,,,,,,,
2025-11-28 22:39:15,443 kb/s,377 kb/s,418 kb/s,382 kb/s,406 kb/s,388 kb/s,425 kb/s,427 kb/s,372 kb/s,413 kb/s,368 kb/s,359 kb/s,,,,,,,,,,,,
2025-11-28 22:39:30,498 kb/s,420 kb/s,452 kb/s,410 kb/s,432 kb/s,419 kb/s,460 kb/s,450 kb/s,410 kb/s,441 kb/s,417 kb/s,391 kb/s,,,,,,,,,,,,
2025-11-28 22:39:45,528 kb/s,453 kb/s,476 kb/s,448 kb/s,469 kb/s,456 kb/s,495 kb/s,490 kb/s,449 kb/s,474 kb/s,442 kb/s,429 kb/s,,,,,,,,,,,,
2025-11-28 22:40:00,561 kb/s,474 kb/s,517 kb/s,492 kb/s,502 kb/s,481 kb/s,519 kb/s,532 kb/s,476 kb/s,520 kb/s,474 kb/s,466 kb/s,,,,,,,,,,,,
2025-11-28 22:40:15,604 kb/s,508 kb/s,545 kb/s,517 kb/s,548 kb/s,531 kb/s,578 kb/s,558 kb/s,501 kb/s,559 kb/s,498 kb/s,493 kb/s,,,,,,,,,,,,
2025-11-28 22:40:30,661 kb/s,557 kb/s,576 kb/s,552 kb/s,579 kb/s,561 kb/s,606 kb/s,590 kb/s,534 kb/s,587 kb/s,545 kb/s,527 kb/s,,,,,,,,,,,,
2025-11-28 22:40:45,696 kb/s,585 kb/s,607 kb/s,583 kb/s,609 kb/s,596 kb/s,629 kb/s,630 kb/s,576 kb/s,614 kb/s,572 kb/s,559 kb/s,,,,,,,,,,,,
