"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}"
2025-11-28 22:36:00,,,,,,11.6 kb/s,,10.5 kb/s,,,13.0 kb/s,,,,,,,,,,,,,
2025-11-28 22:36:15,18.1 kb/s,17.7 kb/s,15.1 kb/s,15.9 kb/s,17.1 kb/s,21.1 kb/s,17.0 kb/s,19.3 kb/s,14.5 kb/s,16.5 kb/s,22.8 kb/s,15.0 kb/s,,,,,,,,,,,,
2025-11-28 22:36:30,49.5 kb/s,59.0 kb/s,27.7 kb/s,24.9 kb/s,26.6 kb/s,49.3 kb/s,26.5 kb/s,55.1 kb/s,27.0 kb/s,26.1 kb/s,60.2 kb/s,27.5 kb/s,,,,,,,,,,,,
2025-11-28 22:36:45,90.2 kb/s,94.3 kb/s,57.5 kb/s,60.4 kb/s,78.8 kb/s,83.0 kb/s,82.0 kb/s,89.9 kb/s,76.8 kb/s,72.7 kb/s,92.5 kb/s,73.9 kb/s,,,,,,,,,,,,
2025-11-28 22:37:00,129 kb/s,126 kb/s,103 kb/s,116 kb/s,117 kb/s,118 kb/s,124 kb/s,136 kb/s,115 kb/s,126 kb/s,128 kb/s,106 kb/s,,,,,,,,,,,,
2025-11-28 22:37:15,183 kb/s,164 kb/s,135 kb/s,149 kb/s,170 kb/s,163 kb/s,191 kb/s,175 kb/s,149 kb/s,170 kb/s,161 kb/s,132 kb/s,,,,,,,,,,,,
2025-11-28 22:37:30,245 kb/s,212 kb/s,171 kb/s,188 kb/s,207 kb/s,200 kb/s,230 kb/s,217 kb/s,195 kb/s,209 kb/s,207 kb/s,166 kb/s,,,,,,,,,,,,
2025-11-28 22:37:45,290 kb/s,246 kb/s,201 kb/s,228 kb/s,255 kb/s,244 kb/s,275 kb/s,261 kb/s,243 kb/s,249 kb/s,239 kb/s,208 kb/s,,,,,,,,,,,,
2025-11-28 22:38:00,333 kb/s,277 kb/s,254 kb/s,281 kb/s,289 kb/s,280 kb/s,319 kb/s,315 kb/s,283 kb/s,300 kb/s,281 kb/s,241 kb/s,,,,,,,,,,,,
2025-11-28 22:38:15,388 kb/s,316 kb/s,287 kb/s,320 kb/s,343 kb/s,337 kb/s,370 kb/s,352 kb/s,321 kb/s,346 kb/s,318 kb/s,273 kb/s,,,,,,,,,,,,
2025-11-28 22:38:30,457 kb/s,365 kb/s,324 kb/s,358 kb/s,380 kb/s,373 kb/s,406 kb/s,391 kb/s,365 kb/s,378 kb/s,367 kb/s,314 kb/s,,,,,,,,,,,,
2025-11-28 22:38:45,497 kb/s,400 kb/s,356 kb/s,402 kb/s,426 kb/s,414 kb/s,454 kb/s,434 kb/s,409 kb/s,421 kb/s,406 kb/s,356 kb/s,,,,,,,,,,,,
2025-11-28 22:39:00,538 kb/s,437 kb/s,403 kb/s,453 kb/s,467 kb/s,449 kb/s,496 kb/s,488 kb/s,452 kb/s,474 kb/s,450 kb/s,395 kb/s,,,,,,,,,,,,
2025-11-28 22:39:15,592 kb/s,479 kb/s,438 kb/s,491 kb/s,520 kb/s,510 kb/s,558 kb/s,534 kb/s,490 kb/s,515 kb/s,487 kb/s,431 kb/s,,,,,,,,,,,,
2025-11-28 22:39:30,656 kb/s,528 kb/s,476 kb/s,525 kb/s,563 kb/s,544 kb/s,593 kb/s,577 kb/s,530 kb/s,556 kb/s,532 kb/s,471 kb/s,,,,,,,,,,,,
2025-11-28 22:39:45,701 kb/s,560 kb/s,513 kb/s,563 kb/s,608 kb/s,590 kb/s,640 kb/s,616 kb/s,588 kb/s,601 kb/s,572 kb/s,501 kb/s,,,,,,,,,,,,
2025-11-28 22:40:00,742 kb/s,599 kb/s,572 kb/s,619 kb/s,640 kb/s,627 kb/s,680 kb/s,679 kb/s,630 kb/s,655 kb/s,616 kb/s,539 kb/s,,,,,,,,,,,,
2025-11-28 22:40:15,786 kb/s,641 kb/s,607 kb/s,661 kb/s,697 kb/s,682 kb/s,729 kb/s,721 kb/s,668 kb/s,693 kb/s,652 kb/s,569 kb/s,,,,,,,,,,,,
2025-11-28 22:40:30,851 kb/s,688 kb/s,649 kb/s,693 kb/s,735 kb/s,720 kb/s,779 kb/s,755 kb/s,721 kb/s,738 kb/s,703 kb/s,610 kb/s,,,,,,,,,,,,
2025-11-28 22:40:45,890 kb/s,721 kb/s,680 kb/s,732 kb/s,771 kb/s,764 kb/s,823 kb/s,801 kb/s,777 kb/s,782 kb/s,743 kb/s,649 kb/s,,,,,,,,,,,,
