"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}"
2025-11-30 04:59:30,1.11 kb/s,,,1.29 kb/s,,1.16 kb/s,,1.33 kb/s,,,1.04 kb/s,,,,,,,,,,,,,
2025-11-30 04:59:45,3.22 kb/s,1.62 kb/s,2.81 kb/s,3.25 kb/s,1.50 kb/s,3.37 kb/s,3.75 kb/s,3.38 kb/s,1.01 kb/s,1.06 kb/s,3.04 kb/s,3.00 kb/s,,,,,,,,,,,,
2025-11-30 05:00:00,32.4 kb/s,4.12 kb/s,36.0 kb/s,34.3 kb/s,7.30 kb/s,32.5 kb/s,6.98 kb/s,39.2 kb/s,6.88 kb/s,6.96 kb/s,27.7 kb/s,15.9 kb/s,,,,,,,,,,,,
2025-11-30 05:00:15,76.4 kb/s,50.3 kb/s,64.5 kb/s,61.2 kb/s,41.9 kb/s,68.4 kb/s,64.7 kb/s,68.0 kb/s,65.4 kb/s,60.8 kb/s,61.4 kb/s,60.3 kb/s,,,,,,,,,,,,
2025-11-30 05:00:30,116 kb/s,87.5 kb/s,92.5 kb/s,92.3 kb/s,85.8 kb/s,91.3 kb/s,92.7 kb/s,102 kb/s,101 kb/s,89.4 kb/s,104 kb/s,88.1 kb/s,,,,,,,,,,,,
2025-11-30 05:00:45,152 kb/s,130 kb/s,129 kb/s,137 kb/s,112 kb/s,135 kb/s,122 kb/s,144 kb/s,135 kb/s,117 kb/s,131 kb/s,120 kb/s,,,,,,,,,,,,
2025-11-30 05:01:00,177 kb/s,156 kb/s,178 kb/s,165 kb/s,144 kb/s,166 kb/s,149 kb/s,180 kb/s,167 kb/s,148 kb/s,156 kb/s,152 kb/s,,,,,,,,,,,,
2025-11-30 05:01:15,214 kb/s,190 kb/s,210 kb/s,199 kb/s,168 kb/s,198 kb/s,193 kb/s,209 kb/s,211 kb/s,202 kb/s,189 kb/s,192 kb/s,,,,,,,,,,,,
2025-11-30 05:01:30,274 kb/s,224 kb/s,238 kb/s,232 kb/s,213 kb/s,220 kb/s,222 kb/s,241 kb/s,235 kb/s,235 kb/s,237 kb/s,217 kb/s,,,,,,,,,,,,
2025-11-30 05:01:45,305 kb/s,259 kb/s,267 kb/s,275 kb/s,240 kb/s,262 kb/s,255 kb/s,288 kb/s,264 kb/s,267 kb/s,263 kb/s,249 kb/s,,,,,,,,,,,,
2025-11-30 05:02:00,335 kb/s,293 kb/s,314 kb/s,307 kb/s,279 kb/s,293 kb/s,278 kb/s,331 kb/s,304 kb/s,301 kb/s,289 kb/s,276 kb/s,,,,,,,,,,,,
2025-11-30 05:02:15,370 kb/s,325 kb/s,343 kb/s,344 kb/s,303 kb/s,328 kb/s,316 kb/s,360 kb/s,354 kb/s,348 kb/s,328 kb/s,315 kb/s,,,,,,,,,,,,
2025-11-30 05:02:30,436 kb/s,356 kb/s,369 kb/s,382 kb/s,345 kb/s,356 kb/s,341 kb/s,393 kb/s,385 kb/s,373 kb/s,366 kb/s,342 kb/s,,,,,,,,,,,,
2025-11-30 05:02:45,471 kb/s,394 kb/s,402 kb/s,424 kb/s,371 kb/s,405 kb/s,372 kb/s,440 kb/s,409 kb/s,402 kb/s,391 kb/s,373 kb/s,,,,,,,,,,,,
2025-11-30 05:03:00,498 kb/s,425 kb/s,446 kb/s,453 kb/s,408 kb/s,438 kb/s,393 kb/s,482 kb/s,442 kb/s,435 kb/s,415 kb/s,406 kb/s,,,,,,,,,,,,
2025-11-30 05:03:15,534 kb/s,463 kb/s,475 kb/s,481 kb/s,435 kb/s,473 kb/s,430 kb/s,513 kb/s,483 kb/s,473 kb/s,446 kb/s,450 kb/s,,,,,,,,,,,,
2025-11-30 05:03:30,585 kb/s,496 kb/s,507 kb/s,515 kb/s,475 kb/s,504 kb/s,455 kb/s,549 kb/s,517 kb/s,497 kb/s,487 kb/s,478 kb/s,,,,,,,,,,,,
2025-11-30 05:03:45,622 kb/s,533 kb/s,544 kb/s,559 kb/s,505 kb/s,551 kb/s,488 kb/s,583 kb/s,553 kb/s,526 kb/s,514 kb/s,510 kb/s,,,,,,,,,,,,
2025-11-30 05:04:00,656 kb/s,561 kb/s,591 kb/s,591 kb/s,537 kb/s,578 kb/s,519 kb/s,621 kb/s,592 kb/s,563 kb/s,540 kb/s,539 kb/s,,,,,,,,,,,,
2025-11-30 05:04:15,696 kb/s,595 kb/s,619 kb/s,618 kb/s,562 kb/s,618 kb/s,555 kb/s,650 kb/s,644 kb/s,600 kb/s,573 kb/s,580 kb/s,,,,,,,,,,,,
