"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-nethermind:5054"", job=""cl-04-lighthouse-nethermind"", service=""cl-04-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-nethermind:5054"", job=""cl-06-lighthouse-nethermind"", service=""cl-06-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-nethermind:5054"", job=""cl-01-lighthouse-nethermind"", service=""cl-01-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-nethermind:5054"", job=""cl-02-lighthouse-nethermind"", service=""cl-02-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-nethermind:5054"", job=""cl-05-lighthouse-nethermind"", service=""cl-05-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-nethermind:5054"", job=""cl-07-lighthouse-nethermind"", service=""cl-07-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""True""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-nethermind:5054"", job=""cl-03-lighthouse-nethermind"", service=""cl-03-lighthouse-nethermind"", supernode=""True""}"
2025-11-30 04:59:30,11.6 kb/s,,,13.0 kb/s,,12.0 kb/s,,13.4 kb/s,,,10.8 kb/s,,,,,,,,,,,,,
2025-11-30 04:59:45,20.8 kb/s,16.8 kb/s,18.0 kb/s,22.4 kb/s,16.0 kb/s,21.4 kb/s,20.2 kb/s,23.2 kb/s,14.7 kb/s,15.1 kb/s,19.4 kb/s,19.5 kb/s,,,,,,,,,,,,
2025-11-30 05:00:00,64.6 kb/s,26.2 kb/s,54.7 kb/s,57.7 kb/s,29.0 kb/s,56.3 kb/s,26.9 kb/s,55.6 kb/s,26.9 kb/s,27.6 kb/s,48.7 kb/s,37.0 kb/s,,,,,,,,,,,,
2025-11-30 05:00:15,102 kb/s,62.7 kb/s,90.4 kb/s,93.8 kb/s,71.5 kb/s,89.5 kb/s,74.4 kb/s,91.8 kb/s,89.0 kb/s,85.2 kb/s,79.0 kb/s,98.1 kb/s,,,,,,,,,,,,
2025-11-30 05:00:30,164 kb/s,101 kb/s,121 kb/s,134 kb/s,123 kb/s,123 kb/s,108 kb/s,134 kb/s,126 kb/s,125 kb/s,121 kb/s,134 kb/s,,,,,,,,,,,,
2025-11-30 05:00:45,202 kb/s,141 kb/s,151 kb/s,186 kb/s,160 kb/s,166 kb/s,149 kb/s,175 kb/s,164 kb/s,163 kb/s,154 kb/s,176 kb/s,,,,,,,,,,,,
2025-11-30 05:01:00,243 kb/s,178 kb/s,202 kb/s,224 kb/s,197 kb/s,195 kb/s,181 kb/s,227 kb/s,209 kb/s,203 kb/s,184 kb/s,218 kb/s,,,,,,,,,,,,
2025-11-30 05:01:15,288 kb/s,216 kb/s,233 kb/s,256 kb/s,228 kb/s,231 kb/s,230 kb/s,267 kb/s,273 kb/s,251 kb/s,221 kb/s,268 kb/s,,,,,,,,,,,,
2025-11-30 05:01:30,339 kb/s,264 kb/s,263 kb/s,300 kb/s,287 kb/s,266 kb/s,265 kb/s,315 kb/s,320 kb/s,285 kb/s,264 kb/s,305 kb/s,,,,,,,,,,,,
2025-11-30 05:01:45,382 kb/s,313 kb/s,303 kb/s,358 kb/s,326 kb/s,322 kb/s,310 kb/s,354 kb/s,362 kb/s,319 kb/s,300 kb/s,350 kb/s,,,,,,,,,,,,
2025-11-30 05:02:00,428 kb/s,344 kb/s,352 kb/s,396 kb/s,365 kb/s,352 kb/s,347 kb/s,409 kb/s,410 kb/s,359 kb/s,333 kb/s,394 kb/s,,,,,,,,,,,,
2025-11-30 05:02:15,484 kb/s,388 kb/s,384 kb/s,431 kb/s,400 kb/s,387 kb/s,400 kb/s,450 kb/s,475 kb/s,408 kb/s,367 kb/s,452 kb/s,,,,,,,,,,,,
2025-11-30 05:02:30,537 kb/s,434 kb/s,412 kb/s,467 kb/s,455 kb/s,419 kb/s,436 kb/s,497 kb/s,515 kb/s,447 kb/s,417 kb/s,493 kb/s,,,,,,,,,,,,
2025-11-30 05:02:45,586 kb/s,482 kb/s,454 kb/s,516 kb/s,492 kb/s,473 kb/s,483 kb/s,545 kb/s,558 kb/s,480 kb/s,458 kb/s,541 kb/s,,,,,,,,,,,,
2025-11-30 05:03:00,637 kb/s,514 kb/s,503 kb/s,557 kb/s,532 kb/s,505 kb/s,519 kb/s,588 kb/s,607 kb/s,520 kb/s,494 kb/s,577 kb/s,,,,,,,,,,,,
2025-11-30 05:03:15,688 kb/s,549 kb/s,542 kb/s,592 kb/s,565 kb/s,542 kb/s,570 kb/s,626 kb/s,667 kb/s,571 kb/s,534 kb/s,626 kb/s,,,,,,,,,,,,
2025-11-30 05:03:30,751 kb/s,596 kb/s,572 kb/s,634 kb/s,617 kb/s,572 kb/s,606 kb/s,674 kb/s,707 kb/s,615 kb/s,585 kb/s,666 kb/s,,,,,,,,,,,,
2025-11-30 05:03:45,791 kb/s,644 kb/s,609 kb/s,688 kb/s,656 kb/s,628 kb/s,646 kb/s,730 kb/s,740 kb/s,651 kb/s,625 kb/s,711 kb/s,,,,,,,,,,,,
2025-11-30 05:04:00,831 kb/s,682 kb/s,659 kb/s,727 kb/s,703 kb/s,666 kb/s,677 kb/s,782 kb/s,787 kb/s,690 kb/s,660 kb/s,760 kb/s,,,,,,,,,,,,
2025-11-30 05:04:15,873 kb/s,715 kb/s,698 kb/s,767 kb/s,737 kb/s,701 kb/s,738 kb/s,827 kb/s,849 kb/s,744 kb/s,705 kb/s,812 kb/s,,,,,,,,,,,,
