Test,Client,Metric,Phase,Value
BigBlock,Besu - Lighthouse,Avg Block Gas Used %,Phase 1,11.29
BigBlock,Equalweight - Lighthouse,Avg Block Gas Used %,Phase 1,10.90
BigBlock,Geth - Lighthouse,Avg Block Gas Used %,Phase 1,6.05
BigBlock,Mainnet - Lighthouse,Avg Block Gas Used %,Phase 1,9.40
BigBlock,Nethermind - Lighthouse,Avg Block Gas Used %,Phase 1,10.57
BigBlock,Besu - Lighthouse,Avg Block Gas Used %,Phase 2,96.88
BigBlock,Equalweight - Lighthouse,Avg Block Gas Used %,Phase 2,97.81
BigBlock,Geth - Lighthouse,Avg Block Gas Used %,Phase 2,95.19
BigBlock,Mainnet - Lighthouse,Avg Block Gas Used %,Phase 2,97.88
BigBlock,Nethermind - Lighthouse,Avg Block Gas Used %,Phase 2,98.62
BigBlock,Besu - Lighthouse,Avg Block Size kB,Phase 1,20.01
BigBlock,Equalweight - Lighthouse,Avg Block Size kB,Phase 1,19.30
BigBlock,Geth - Lighthouse,Avg Block Size kB,Phase 1,10.55
BigBlock,Mainnet - Lighthouse,Avg Block Size kB,Phase 1,16.60
BigBlock,Nethermind - Lighthouse,Avg Block Size kB,Phase 1,18.70
BigBlock,Besu - Lighthouse,Avg Block Size kB,Phase 2,3562.53
BigBlock,Equalweight - Lighthouse,Avg Block Size kB,Phase 2,3610.95
BigBlock,Geth - Lighthouse,Avg Block Size kB,Phase 2,3510.01
BigBlock,Mainnet - Lighthouse,Avg Block Size kB,Phase 2,3616.59
BigBlock,Nethermind - Lighthouse,Avg Block Size kB,Phase 2,3642.66
BigBlock,Besu - Lighthouse,Avg CPU %,Phase 1,145.66
BigBlock,Equalweight - Lighthouse,Avg CPU %,Phase 1,75.65
BigBlock,Geth - Lighthouse,Avg CPU %,Phase 1,20.47
BigBlock,Mainnet - Lighthouse,Avg CPU %,Phase 1,51.32
BigBlock,Nethermind - Lighthouse,Avg CPU %,Phase 1,66.95
BigBlock,Besu - Lighthouse,Avg CPU %,Phase 2,235.62
BigBlock,Equalweight - Lighthouse,Avg CPU %,Phase 2,146.00
BigBlock,Geth - Lighthouse,Avg CPU %,Phase 2,106.88
BigBlock,Mainnet - Lighthouse,Avg CPU %,Phase 2,124.06
BigBlock,Nethermind - Lighthouse,Avg CPU %,Phase 2,101.99
BigBlock,Besu - Lighthouse,Avg CPU % per node,Phase 1,12.13
BigBlock,Equalweight - Lighthouse,Avg CPU % per node,Phase 1,6.30
BigBlock,Geth - Lighthouse,Avg CPU % per node,Phase 1,1.70
BigBlock,Mainnet - Lighthouse,Avg CPU % per node,Phase 1,4.27
BigBlock,Nethermind - Lighthouse,Avg CPU % per node,Phase 1,5.57
BigBlock,Besu - Lighthouse,Avg CPU % per node,Phase 2,19.63
BigBlock,Equalweight - Lighthouse,Avg CPU % per node,Phase 2,12.16
BigBlock,Geth - Lighthouse,Avg CPU % per node,Phase 2,8.90
BigBlock,Mainnet - Lighthouse,Avg CPU % per node,Phase 2,10.33
BigBlock,Nethermind - Lighthouse,Avg CPU % per node,Phase 2,8.49
BigBlock,Besu - Lighthouse,Avg Gas Gwei,Phase 1,2.46
BigBlock,Equalweight - Lighthouse,Avg Gas Gwei,Phase 1,2.22
BigBlock,Geth - Lighthouse,Avg Gas Gwei,Phase 1,2.10
BigBlock,Mainnet - Lighthouse,Avg Gas Gwei,Phase 1,2.19
BigBlock,Nethermind - Lighthouse,Avg Gas Gwei,Phase 1,2.31
BigBlock,Besu - Lighthouse,Avg Gas Gwei,Phase 2,2.33
BigBlock,Equalweight - Lighthouse,Avg Gas Gwei,Phase 2,2.38
BigBlock,Geth - Lighthouse,Avg Gas Gwei,Phase 2,2.22
BigBlock,Mainnet - Lighthouse,Avg Gas Gwei,Phase 2,2.33
BigBlock,Nethermind - Lighthouse,Avg Gas Gwei,Phase 2,2.38
BigBlock,Besu - Lighthouse,Avg Latency ms,Phase 1,6926.78
BigBlock,Equalweight - Lighthouse,Avg Latency ms,Phase 1,6929.02
BigBlock,Geth - Lighthouse,Avg Latency ms,Phase 1,8092.33
BigBlock,Mainnet - Lighthouse,Avg Latency ms,Phase 1,7048.25
BigBlock,Nethermind - Lighthouse,Avg Latency ms,Phase 1,6458.76
BigBlock,Besu - Lighthouse,Avg Latency ms,Phase 2,12448.43
BigBlock,Equalweight - Lighthouse,Avg Latency ms,Phase 2,12678.02
BigBlock,Geth - Lighthouse,Avg Latency ms,Phase 2,12860.17
BigBlock,Mainnet - Lighthouse,Avg Latency ms,Phase 2,12821.93
BigBlock,Nethermind - Lighthouse,Avg Latency ms,Phase 2,12572.49
BigBlock,Besu - Lighthouse,Avg Net RX MB/s,Phase 1,4.75
BigBlock,Equalweight - Lighthouse,Avg Net RX MB/s,Phase 1,4.39
BigBlock,Geth - Lighthouse,Avg Net RX MB/s,Phase 1,4.25
BigBlock,Mainnet - Lighthouse,Avg Net RX MB/s,Phase 1,4.15
BigBlock,Nethermind - Lighthouse,Avg Net RX MB/s,Phase 1,4.28
BigBlock,Besu - Lighthouse,Avg Net RX MB/s,Phase 2,13.83
BigBlock,Equalweight - Lighthouse,Avg Net RX MB/s,Phase 2,13.87
BigBlock,Geth - Lighthouse,Avg Net RX MB/s,Phase 2,13.99
BigBlock,Mainnet - Lighthouse,Avg Net RX MB/s,Phase 2,14.17
BigBlock,Nethermind - Lighthouse,Avg Net RX MB/s,Phase 2,13.86
BigBlock,Besu - Lighthouse,Avg Net TX MB/s,Phase 1,5.94
BigBlock,Equalweight - Lighthouse,Avg Net TX MB/s,Phase 1,5.54
BigBlock,Geth - Lighthouse,Avg Net TX MB/s,Phase 1,5.29
BigBlock,Mainnet - Lighthouse,Avg Net TX MB/s,Phase 1,5.18
BigBlock,Nethermind - Lighthouse,Avg Net TX MB/s,Phase 1,5.37
BigBlock,Besu - Lighthouse,Avg Net TX MB/s,Phase 2,48.34
BigBlock,Equalweight - Lighthouse,Avg Net TX MB/s,Phase 2,47.87
BigBlock,Geth - Lighthouse,Avg Net TX MB/s,Phase 2,47.26
BigBlock,Mainnet - Lighthouse,Avg Net TX MB/s,Phase 2,46.76
BigBlock,Nethermind - Lighthouse,Avg Net TX MB/s,Phase 2,47.55
BigBlock,Besu - Lighthouse,Avg RAM GB,Phase 1,8.31
BigBlock,Equalweight - Lighthouse,Avg RAM GB,Phase 1,5.22
BigBlock,Geth - Lighthouse,Avg RAM GB,Phase 1,1.36
BigBlock,Mainnet - Lighthouse,Avg RAM GB,Phase 1,4.54
BigBlock,Nethermind - Lighthouse,Avg RAM GB,Phase 1,6.72
BigBlock,Besu - Lighthouse,Avg RAM GB,Phase 2,12.39
BigBlock,Equalweight - Lighthouse,Avg RAM GB,Phase 2,8.94
BigBlock,Geth - Lighthouse,Avg RAM GB,Phase 2,5.07
BigBlock,Mainnet - Lighthouse,Avg RAM GB,Phase 2,7.85
BigBlock,Nethermind - Lighthouse,Avg RAM GB,Phase 2,9.23
BigBlock,Besu - Lighthouse,Avg RAM GB per node,Phase 1,0.6932
BigBlock,Equalweight - Lighthouse,Avg RAM GB per node,Phase 1,0.4352
BigBlock,Geth - Lighthouse,Avg RAM GB per node,Phase 1,0.1140
BigBlock,Mainnet - Lighthouse,Avg RAM GB per node,Phase 1,0.3788
BigBlock,Nethermind - Lighthouse,Avg RAM GB per node,Phase 1,0.5606
BigBlock,Besu - Lighthouse,Avg RAM GB per node,Phase 2,1.03
BigBlock,Equalweight - Lighthouse,Avg RAM GB per node,Phase 2,0.7453
BigBlock,Geth - Lighthouse,Avg RAM GB per node,Phase 2,0.4231
BigBlock,Mainnet - Lighthouse,Avg RAM GB per node,Phase 2,0.6547
BigBlock,Nethermind - Lighthouse,Avg RAM GB per node,Phase 2,0.7695
BigBlock,Besu - Lighthouse,Avg Spam Confirmed,Phase 1,138.35
BigBlock,Equalweight - Lighthouse,Avg Spam Confirmed,Phase 1,133.06
BigBlock,Geth - Lighthouse,Avg Spam Confirmed,Phase 1,69.29
BigBlock,Mainnet - Lighthouse,Avg Spam Confirmed,Phase 1,113.38
BigBlock,Nethermind - Lighthouse,Avg Spam Confirmed,Phase 1,128.70
BigBlock,Besu - Lighthouse,Avg Spam Confirmed,Phase 2,260.69
BigBlock,Equalweight - Lighthouse,Avg Spam Confirmed,Phase 2,258.96
BigBlock,Geth - Lighthouse,Avg Spam Confirmed,Phase 2,253.33
BigBlock,Mainnet - Lighthouse,Avg Spam Confirmed,Phase 2,258.36
BigBlock,Nethermind - Lighthouse,Avg Spam Confirmed,Phase 2,260.63
BigBlock,Besu - Lighthouse,Avg Spam Pending,Phase 1,24.87
BigBlock,Equalweight - Lighthouse,Avg Spam Pending,Phase 1,35.93
BigBlock,Geth - Lighthouse,Avg Spam Pending,Phase 1,27.19
BigBlock,Mainnet - Lighthouse,Avg Spam Pending,Phase 1,23.93
BigBlock,Nethermind - Lighthouse,Avg Spam Pending,Phase 1,15.96
BigBlock,Besu - Lighthouse,Avg Spam Pending,Phase 2,143.48
BigBlock,Equalweight - Lighthouse,Avg Spam Pending,Phase 2,165.75
BigBlock,Geth - Lighthouse,Avg Spam Pending,Phase 2,172.60
BigBlock,Mainnet - Lighthouse,Avg Spam Pending,Phase 2,173.00
BigBlock,Nethermind - Lighthouse,Avg Spam Pending,Phase 2,174.00
BigBlock,Besu - Lighthouse,Avg Spam Submitted,Phase 1,139.45
BigBlock,Equalweight - Lighthouse,Avg Spam Submitted,Phase 1,134.32
BigBlock,Geth - Lighthouse,Avg Spam Submitted,Phase 1,71.22
BigBlock,Mainnet - Lighthouse,Avg Spam Submitted,Phase 1,113.70
BigBlock,Nethermind - Lighthouse,Avg Spam Submitted,Phase 1,129.48
BigBlock,Besu - Lighthouse,Avg Spam Submitted,Phase 2,261.66
BigBlock,Equalweight - Lighthouse,Avg Spam Submitted,Phase 2,257.78
BigBlock,Geth - Lighthouse,Avg Spam Submitted,Phase 2,251.51
BigBlock,Mainnet - Lighthouse,Avg Spam Submitted,Phase 2,258.06
BigBlock,Nethermind - Lighthouse,Avg Spam Submitted,Phase 2,259.90
BigBlock,Besu - Lighthouse,Max Block Gas Used %,Phase 1,23.76
BigBlock,Equalweight - Lighthouse,Max Block Gas Used %,Phase 1,23.76
BigBlock,Geth - Lighthouse,Max Block Gas Used %,Phase 1,19.70
BigBlock,Mainnet - Lighthouse,Max Block Gas Used %,Phase 1,15.79
BigBlock,Nethermind - Lighthouse,Max Block Gas Used %,Phase 1,19.70
BigBlock,Besu - Lighthouse,Max Block Gas Used %,Phase 2,99.99
BigBlock,Equalweight - Lighthouse,Max Block Gas Used %,Phase 2,99.99
BigBlock,Geth - Lighthouse,Max Block Gas Used %,Phase 2,100.00
BigBlock,Mainnet - Lighthouse,Max Block Gas Used %,Phase 2,100.00
BigBlock,Nethermind - Lighthouse,Max Block Gas Used %,Phase 2,99.99
BigBlock,Besu - Lighthouse,Max Block Size kB,Phase 1,22.00
BigBlock,Equalweight - Lighthouse,Max Block Size kB,Phase 1,24.10
BigBlock,Geth - Lighthouse,Max Block Size kB,Phase 1,22.01
BigBlock,Mainnet - Lighthouse,Max Block Size kB,Phase 1,24.10
BigBlock,Nethermind - Lighthouse,Max Block Size kB,Phase 1,22.00
BigBlock,Besu - Lighthouse,Max Block Size kB,Phase 2,3991.24
BigBlock,Equalweight - Lighthouse,Max Block Size kB,Phase 2,3900.33
BigBlock,Geth - Lighthouse,Max Block Size kB,Phase 2,3719.48
BigBlock,Mainnet - Lighthouse,Max Block Size kB,Phase 2,3900.85
BigBlock,Nethermind - Lighthouse,Max Block Size kB,Phase 2,3749.51
BigBlock,Besu - Lighthouse,Max CPU %,Phase 1,1573.00
BigBlock,Equalweight - Lighthouse,Max CPU %,Phase 1,558.00
BigBlock,Geth - Lighthouse,Max CPU %,Phase 1,182.00
BigBlock,Mainnet - Lighthouse,Max CPU %,Phase 1,335.00
BigBlock,Nethermind - Lighthouse,Max CPU %,Phase 1,451.00
BigBlock,Besu - Lighthouse,Max CPU %,Phase 2,1023.00
BigBlock,Equalweight - Lighthouse,Max CPU %,Phase 2,960.00
BigBlock,Geth - Lighthouse,Max CPU %,Phase 2,845.00
BigBlock,Mainnet - Lighthouse,Max CPU %,Phase 2,840.90
