Test,Phase,Metric,Besu - Lighthouse,Equalweight - Lighthouse,Geth - Lighthouse,Mainnet - Lighthouse,Nethermind - Lighthouse
BigBlock,Phase 1,Avg CPU %,145.66,75.65,20.47,51.32,66.95
BigBlock,Phase 2,Avg CPU %,235.62,146.00,106.88,124.06,101.99
BigBlock,Phase 1,Median CPU %,88.00,54.00,15.00,38.00,49.00
BigBlock,Phase 2,Median CPU %,217.00,78.00,46.00,58.00,75.00
BigBlock,Phase 1,Min CPU %,0.0000,0.0000,0.0000,0.0000,0.0000
BigBlock,Phase 2,Min CPU %,29.00,14.00,9.00,15.00,20.00
BigBlock,Phase 1,Max CPU %,1573.00,558.00,182.00,335.00,451.00
BigBlock,Phase 2,Max CPU %,1023.00,960.00,845.00,840.90,747.00
BigBlock,Phase 1,Avg CPU % per node,12.13,6.30,1.70,4.27,5.57
BigBlock,Phase 2,Avg CPU % per node,19.63,12.16,8.90,10.33,8.49
BigBlock,Phase 1,Median CPU % per node,7.33,4.50,1.25,3.16,4.08
BigBlock,Phase 2,Median CPU % per node,18.08,6.50,3.83,4.83,6.25
BigBlock,Phase 1,Min CPU % per node,0.0000,0.0000,0.0000,0.0000,0.0000
BigBlock,Phase 2,Min CPU % per node,2.41,1.16,0.7500,1.25,1.66
BigBlock,Phase 1,Max CPU % per node,131.08,46.50,15.16,27.91,37.58
BigBlock,Phase 2,Max CPU % per node,85.25,80.00,70.41,70.07,62.25
BigBlock,Phase 1,Avg Gas Gwei,2.46,2.22,2.10,2.19,2.31
BigBlock,Phase 2,Avg Gas Gwei,2.33,2.38,2.22,2.33,2.38
BigBlock,Phase 1,Median Gas Gwei,2.16,2.14,2.05,2.10,2.14
BigBlock,Phase 2,Median Gas Gwei,2.19,2.22,2.13,2.20,2.22
BigBlock,Phase 1,Min Gas Gwei,2.04,2.03,2.02,2.03,2.03
BigBlock,Phase 2,Min Gas Gwei,2.03,2.03,2.02,2.03,2.03
BigBlock,Phase 1,Max Gas Gwei,200.76,100.04,100.02,100.45,200.76
BigBlock,Phase 2,Max Gas Gwei,3.25,3.50,2.84,3.33,3.49
BigBlock,Phase 1,Avg Latency ms,6926.78,6929.02,8092.33,7048.25,6458.76
BigBlock,Phase 2,Avg Latency ms,12448.43,12678.02,12860.17,12821.93,12572.49
BigBlock,Phase 1,Median Latency ms,6895.00,6884.50,8090,7012,6411.00
BigBlock,Phase 2,Median Latency ms,11374,12633.50,13032.50,12900.50,12762
BigBlock,Phase 1,Min Latency ms,689,223,2131,485,485
BigBlock,Phase 2,Min Latency ms,859,1582,2694,1975,1416
BigBlock,Phase 1,Max Latency ms,27641,14114,14129,14119,12442
BigBlock,Phase 2,Max Latency ms,41521,41986,20316,31790,20349
BigBlock,Phase 1,Avg Net RX MB/s,4.75,4.39,4.25,4.15,4.28
BigBlock,Phase 2,Avg Net RX MB/s,13.83,13.87,13.99,14.17,13.86
BigBlock,Phase 1,Median Net RX MB/s,4.96,4.54,4.33,4.17,4.34
BigBlock,Phase 2,Median Net RX MB/s,14.25,14.18,14.27,14.40,14.19
BigBlock,Phase 1,Min Net RX MB/s,0.0292,0.0120,0.0163,0.0014,0.0063
BigBlock,Phase 2,Min Net RX MB/s,8.09,8.00,8.05,8.15,8.14
BigBlock,Phase 1,Max Net RX MB/s,8.17,8.11,8.08,8.18,8.09
BigBlock,Phase 2,Max Net RX MB/s,18.40,18.51,18.79,19.47,18.26
BigBlock,Phase 1,Avg Net TX MB/s,5.94,5.54,5.29,5.18,5.37
BigBlock,Phase 2,Avg Net TX MB/s,48.34,47.87,47.26,46.76,47.55
BigBlock,Phase 1,Median Net TX MB/s,6.16,5.68,5.32,5.19,5.43
BigBlock,Phase 2,Median Net TX MB/s,50.50,49.56,48.65,48.15,49.13
BigBlock,Phase 1,Min Net TX MB/s,0.1881,0.1184,0.1615,0.0101,0.0481
BigBlock,Phase 2,Min Net TX MB/s,10.20,10.08,9.98,10.19,10.23
BigBlock,Phase 1,Max Net TX MB/s,10.22,10.15,9.97,10.15,10.13
BigBlock,Phase 2,Max Net TX MB/s,76.06,76.30,76.98,77.22,76.25
BigBlock,Phase 1,Avg RAM GB,8.31,5.22,1.36,4.54,6.72
BigBlock,Phase 2,Avg RAM GB,12.39,8.94,5.07,7.85,9.23
BigBlock,Phase 1,Median RAM GB,8.64,5.22,1.41,4.56,6.94
BigBlock,Phase 2,Median RAM GB,12.67,9.28,5.00,8.11,9.59
BigBlock,Phase 1,Min RAM GB,6.39,4.62,0.8515,4.08,4.88
BigBlock,Phase 2,Min RAM GB,9.20,5.09,1.76,4.15,5.16
BigBlock,Phase 1,Max RAM GB,9.28,5.72,1.76,4.96,7.46
BigBlock,Phase 2,Max RAM GB,14.40,11.17,7.48,10.13,11.25
BigBlock,Phase 1,Avg RAM GB per node,0.6932,0.4352,0.1140,0.3788,0.5606
BigBlock,Phase 2,Avg RAM GB per node,1.03,0.7453,0.4231,0.6547,0.7695
BigBlock,Phase 1,Median RAM GB per node,0.7205,0.4358,0.1179,0.3805,0.5786
BigBlock,Phase 2,Median RAM GB per node,1.05,0.7738,0.4167,0.6758,0.7992
BigBlock,Phase 1,Min RAM GB per node,0.5329,0.3852,0.0709,0.3402,0.4069
BigBlock,Phase 2,Min RAM GB per node,0.7667,0.4244,0.1468,0.3460,0.4306
BigBlock,Phase 1,Max RAM GB per node,0.7735,0.4770,0.1468,0.4140,0.6218
BigBlock,Phase 2,Max RAM GB per node,1.20,0.9311,0.6236,0.8442,0.9375
BigBlock,Phase 1,TPS,11.93,11.46,5.96,9.76,11.09
BigBlock,Phase 2,TPS,22.40,22.25,21.77,22.20,22.39
BigBlock,Phase 1,TX Count,4298,4126,2149,3517,3994
